date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,2.3627915977051163e-10,7.571121587113877e-08,7.310375161636454e-12,0.0,3.905560588093602e-20,0.9999999240451947
2020-01-12,2020-01-01,11.0,3.4469030520509446e-10,9.859539787059783e-08,1.0500268469365942e-11,0.0,5.97037749794918e-20,0.9999999010494116
2020-01-19,2020-01-01,18.0,5.028398716454502e-10,1.2839646325486805e-07,1.5082159820095042e-11,0.0,9.126835154757763e-20,0.9999998710856147
2020-01-26,2020-01-01,25.0,7.335445833719084e-10,1.6720508046284315e-07,2.1663563586840705e-11,0.0,1.3952069291218506e-19,0.9999998320397114
2020-02-02,2020-01-01,32.0,1.0700869528065922e-09,2.1774383510723104e-07,3.111667157946212e-11,0.0,2.1328339558192724e-19,0.9999997811549614
2020-02-09,2020-01-01,39.0,1.5610130189372218e-09,2.8355822749288387e-07,4.469470463159356e-11,0.0,3.2604344486001814e-19,0.9999997148360649
2020-02-16,2020-01-01,46.0,2.2771301248233527e-09,3.692654039215711e-07,6.419755825951705e-11,0.0,4.984182155807288e-19,0.9999996283932684
2020-02-23,2020-01-01,53.0,3.3217116834062406e-09,4.808780652314201e-07,9.22107233446294e-11,0.0,7.619252155336931e-19,0.9999995157080124
2020-03-01,2020-01-01,60.0,4.845375591715547e-09,6.262262762190092e-07,1.3244768014424295e-10,0.0,1.1647448440682165e-18,0.9999993687959006
2020-03-08,2020-01-01,67.0,7.0677754006471526e-09,8.155067683624591e-07,1.90242395422933e-10,0.0,1.780529848661186e-18,0.9999991772352138
2020-03-15,2020-01-01,74.0,1.0309222688332245e-08,1.0619982658937209e-06,2.7325631639361194e-10,0.0,2.7218722324269318e-18,0.9999989274192551
2020-03-22,2020-01-01,81.0,1.503677492596918e-08,1.382993015068389e-06,3.924942317606761e-10,2.220448405698762e-16,4.160889953300302e-18,0.9999986015777156
2020-03-29,2020-01-01,88.0,2.19314013133269e-08,1.8010098601851546e-06,5.637628951178551e-10,2.2204489915669237e-16,6.360697570173791e-18,0.9999981764949755
2020-04-05,2020-01-01,95.0,3.1985840655051455e-08,2.3453739507302726e-06,8.097660377413986e-10,4.440899436345483e-16,9.723515064723271e-18,0.9999976218304422
2020-04-12,2020-01-01,102.0,4.664714383460933e-08,3.054273887796278e-06,1.1631151101586064e-09,6.661351852332067e-16,1.4864211279172418e-17,0.9999968979158526
2020-04-19,2020-01-01,109.0,6.802424620960585e-08,3.977440578527709e-06,1.6706516706911272e-09,1.1102258638954768e-15,2.272272902176977e-17,0.9999959528645225
2020-04-26,2020-01-01,116.0,9.919012983991532e-08,5.179635674402005e-06,2.399656982579362e-09,1.5543171665626935e-15,3.4735948261792364e-17,0.9999947187745372
2020-05-03,2020-01-01,123.0,1.4462150487527018e-07,6.74519420642323e-06,3.4467713108082902e-09,2.6645457283792843e-15,5.310041191036403e-17,0.9999931067375147
2020-05-10,2020-01-01,130.0,2.1083828172457952e-07,8.783939915511428e-06,4.9508053709868005e-09,4.440913654111106e-15,8.117395269585822e-17,0.9999910002709929
2020-05-17,2020-01-01,137.0,3.0733308819658975e-07,1.1438887946931289e-05,7.111141349048218e-09,7.327515784725445e-15,1.2408965748791978e-16,0.999988246667816
2020-05-24,2020-01-01,144.0,4.4792146270873816e-07,1.4896274744992174e-05,1.0214165166974665e-08,1.221254298962539e-14,1.896944311461454e-16,0.9999846455896148
2020-05-31,2020-01-01,151.0,6.527015197052058e-07,1.93986178728787e-05,1.4671231385445685e-08,1.9984194162138112e-14,2.8998377492458055e-16,0.9999799340093557
