date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,6.265758417039204e-11,0.0001053873008436627,2.2202120918375286e-16,0.0,1.5691339866466086e-27,0.9998946126364986
2020-01-12,2020-01-01,11.0,9.432702439546359e-11,0.00012451133793138277,4.4403392698642993e-16,0.0,2.853514774114608e-27,0.9998754885677412
2020-01-19,2020-01-01,18.0,1.4200294922952498e-10,0.00014710429799994878,6.660358430298688e-16,0.0,5.1891797559892395e-27,0.9998528955599965
2020-01-26,2020-01-01,25.0,2.137748779943806e-10,0.00017379487452815777,1.1100301108349065e-15,0.0,9.436599534134265e-27,0.9998262049116959
2020-02-02,2020-01-01,32.0,3.218204394021301e-10,0.00020532549727995876,1.997991199361732e-15,0.0,1.7160511657358353e-26,0.9997946741808976
2020-02-09,2020-01-01,39.0,4.844712194460358e-10,0.00024257282925083486,3.5518520483491626e-15,0.0,3.120631276589222e-26,0.9997574266862744
2020-02-16,2020-01-01,46.0,7.293212739988567e-10,0.0002865719270245831,5.993486595390002e-15,0.0,5.674815524035683e-26,0.9997134273436482
2020-02-23,2020-01-01,53.0,1.097907949153569e-09,0.0003385447075058854,1.0432564003916966e-14,0.0,1.0319474333021504e-25,0.9996614541945759
2020-03-01,2020-01-01,60.0,1.6527547845807756e-09,0.0003999334722468045,1.842233293588598e-14,0.0,1.876546416327536e-25,0.9996000648749799
2020-03-08,2020-01-01,67.0,2.4879721733786366e-09,0.00047244036523777413,3.218125969527023e-14,0.0,3.412370791497946e-25,0.9995275571467579
2020-03-15,2020-01-01,74.0,3.745210024712921e-09,0.0005580737828272565,5.614594006166277e-14,0.0,6.2050804427420945e-25,0.9994419224719067
2020-03-22,2020-01-01,81.0,5.637664062555352e-09,0.0006592029169528822,9.807903165718785e-14,0.0,1.1283189469683671e-24,0.9993407914452851
2020-03-29,2020-01-01,88.0,8.486197855703281e-09,0.0007786217963641075,1.7128499239065176e-13,0.0,2.051674188387667e-24,0.9992213697172668
2020-04-05,2020-01-01,95.0,1.277368996675196e-08,0.0009196243955256654,2.990409280148726e-13,2.2184045104960876e-16,3.7305728337091636e-24,0.999080362830485
2020-04-12,2020-01-01,102.0,1.922679120793696e-08,0.0010860926069626634,5.225690410543998e-13,2.2180349790084886e-16,6.783152420508063e-24,0.9989138881657234
2020-04-19,2020-01-01,109.0,2.893890497569156e-08,0.0012825991176608,9.129854159294372e-13,4.4351975512724677e-16,1.2333165509544966e-23,0.9987173719425207
2020-04-26,2020-01-01,116.0,4.3555136824993665e-08,0.0015145274889587458,1.5949701959485555e-12,8.868335812891611e-16,2.2423434203494435e-23,0.9984854289543086
2020-05-03,2020-01-01,123.0,6.555039427057345e-08,0.0017882120035142268,2.786332551600333e-12,1.329885873009467e-15,4.0767258919895864e-23,0.9982117224433037
2020-05-10,2020-01-01,130.0,9.864745046584848e-08,0.0021111000981501736,4.867581027802289e-12,2.437335729507704e-15,7.411386474293542e-23,0.9978888012495293
2020-05-17,2020-01-01,137.0,1.4844524997274757e-07,0.002491940425741648,8.502613536038864e-12,3.9868459843883445e-15,1.34729328693804e-22,0.9975079111205017
2020-05-24,2020-01-01,144.0,2.2336287451925915e-07,0.002940999749838973,1.485118142832082e-11,6.863144918500715e-15,2.449035435609903e-22,0.9970587768724284
2020-05-31,2020-01-01,151.0,3.360572186402269e-07,0.003470311924674639,2.593799338387446e-11,1.1727537295752058e-14,4.451362349657347e-22,0.996529351992157
2020-06-07,2020-01-01,158.0,5.0555113075394e-07,0.004093962082719552,4.529702899237518e-11,2.012336401598417e-14,8.09001985319169e-22,0.9959055323208326
