date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,4.345704221087182e-12,4.440892098067203e-16,4.958922161797253e-12,0.0,3.581732760505752e-29,0.9999999999906949
2020-01-12,2020-01-01,11.0,6.369085376471779e-12,6.661338146807721e-16,7.91322563029429e-12,0.0,6.561661763844538e-29,0.9999999999857171
2020-01-19,2020-01-01,18.0,9.334520671485455e-12,1.1102230243992323e-15,1.2627232592758208e-11,0.0,1.2020831251780175e-28,0.9999999999780371
2020-01-26,2020-01-01,25.0,1.3680711133642933e-11,1.9984014437440514e-15,2.014943767354068e-11,0.0,2.2021919017454986e-28,0.9999999999661678
2020-02-02,2020-01-01,32.0,2.0050373724526384e-11,3.108624467662101e-15,3.215272492588186e-11,0.0,4.034370893752287e-28,0.9999999999477939
2020-02-09,2020-01-01,39.0,2.938591114665886e-11,5.329070515058163e-15,5.1306736634125225e-11,2.2204460491257968e-16,7.39088564231158e-28,0.9999999999193018
2020-02-16,2020-01-01,46.0,4.30676914609227e-11,9.103828794290075e-15,8.187117649746228e-11,2.2204460490477e-16,1.3539952576406158e-27,0.9999999998750517
2020-02-23,2020-01-01,53.0,6.311956752382158e-11,1.509903311688081e-14,1.3064349600220297e-10,4.4408920978507586e-16,2.480491846851765e-27,0.9999999998062215
2020-03-01,2020-01-01,60.0,9.250714292356916e-11,2.531308491842388e-14,2.0847012999898972e-10,4.4408920974662994e-16,4.544210747699263e-27,0.9999999996989969
2020-03-08,2020-01-01,67.0,1.355766959994505e-10,4.2410519437863696e-14,3.3265945541466395e-10,8.881784193721358e-16,8.324901911967984e-27,0.9999999995317206
2020-03-15,2020-01-01,74.0,1.9869751472141536e-10,7.12763179340817e-14,5.308307124091593e-10,1.3322676287714991e-15,1.5251051433632088e-26,0.9999999992703991
2020-03-22,2020-01-01,81.0,2.912043049393026e-10,1.1923795225363054e-13,8.470559801294765e-10,1.998401442477678e-15,2.793961685817197e-26,0.9999999988616184
2020-03-29,2020-01-01,88.0,4.267768608640389e-10,1.9984014301126644e-13,1.3516623356351664e-09,2.8865798598037907e-15,5.1184811317698125e-26,0.999999998221358
2020-04-05,2020-01-01,95.0,6.254617227412544e-10,3.350653054046573e-13,2.156871787288701e-09,4.662936692634087e-15,9.376953599990977e-26,0.9999999972173267
2020-04-12,2020-01-01,102.0,9.166361459401054e-10,5.613287529703539e-13,3.4417590873309498e-09,7.1054273315647944e-15,1.7178388765923452e-25,0.9999999956410364
