date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,4.345704221106942e-12,6.661338147081176e-16,1.3680168109511397e-12,0.0,2.393092958911073e-29,0.9999999999942856
2020-01-12,2020-01-01,11.0,6.369085376517693e-12,1.1102230244640682e-15,2.1502799541029895e-12,0.0,4.346557643413066e-29,0.9999999999914795
2020-01-19,2020-01-01,18.0,9.334520671592184e-12,1.77635683903191e-15,3.380185020780686e-12,0.0,7.894621593011934e-29,0.9999999999872835
2020-01-26,2020-01-01,25.0,1.3680711133891121e-11,2.8865798631751684e-15,5.313749440456772e-12,2.220446049248578e-16,1.433894479491262e-28,0.9999999999810024
2020-02-02,2020-01-01,32.0,2.0050373725103766e-11,4.6629367014820375e-15,8.352873948030454e-12,2.2204460492398464e-16,2.6043722983926656e-28,0.999999999971592
2020-02-09,2020-01-01,39.0,2.9385911148002586e-11,7.993605772597091e-15,1.3130607712105823e-11,2.220446049227331e-16,4.730302798173839e-28,0.9999999999574752
2020-02-16,2020-01-01,46.0,4.306769146405105e-11,1.3544720889189823e-14,2.0641044428841838e-11,4.440892098417977e-16,8.591615175818747e-28,0.9999999999362772
2020-02-23,2020-01-01,53.0,6.311956753110734e-11,2.287059428055074e-14,3.244715607208698e-11,6.661338147545043e-16,1.5604889259427224e-27,0.9999999999044098
2020-03-01,2020-01-01,60.0,9.250714294054303e-11,3.841371658882146e-14,5.100631028401793e-11,1.1102230245702865e-15,2.8343048869651706e-27,0.999999999856447
2020-03-08,2020-01-01,67.0,1.3557669603900817e-10,6.461497988350184e-14,8.018052887681894e-11,1.5543122343547445e-15,5.147927715888611e-27,0.9999999997841766
2020-03-15,2020-01-01,74.0,1.9869751481363297e-10,1.0880185605842331e-13,1.2604184361368255e-10,2.442490653881334e-15,9.350144329743745e-27,0.9999999996751494
2020-03-22,2020-01-01,81.0,2.9120430515434573e-10,1.8318679822188565e-13,1.9813439774062528e-10,3.7747582830231265e-15,1.698260034133982e-26,0.9999999995104742
