date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,1.8715064072462798e-10,4.9874985495082625e-08,3.827005432361848e-11,0.0,6.2135331014055e-20,0.9999999498995938
2020-01-12,2020-01-01,11.0,2.722697827026603e-10,6.460809656942851e-08,5.6148864223450006e-11,0.0,9.58708726319039e-20,0.9999999350634848
2020-01-19,2020-01-01,18.0,3.9610127497328336e-10,8.369337863577512e-08,8.238032624251202e-11,0.0,1.479226724812616e-19,0.9999999158281399
2020-01-26,2020-01-01,25.0,5.762515610584483e-10,1.0841646491721512e-07,1.2086687441684388e-10,0.0,2.2823529639010756e-19,0.9999998908864166
2020-02-02,2020-01-01,32.0,8.383329109737774e-10,1.4044276402620895e-07,1.773330408273214e-10,0.0,3.5215257825538494e-19,0.99999985854157
2020-02-09,2020-01-01,39.0,1.2196055606252222e-09,1.8192964595869497e-07,2.601794390987695e-10,0.0,5.433490798127372e-19,0.999999816590569
2020-02-16,2020-01-01,46.0,1.7742727637601875e-09,2.3567176503276465e-07,3.817295447010128e-10,0.0,8.383531468119793e-19,0.9999997621722326
2020-02-23,2020-01-01,53.0,2.58118512765067e-09,3.0528931359409874e-07,5.600655593388318e-10,0.0,1.2935256971589768e-18,0.9999996915694357
2020-03-01,2020-01-01,60.0,3.755047234010837e-09,3.954718801985107e-07,8.217160378805197e-10,0.0,1.9958280470045e-18,0.9999995999513566
2020-03-08,2020-01-01,67.0,5.462716095799758e-09,5.122943454875332e-07,1.2056040612559848e-09,0.0,3.079435980527171e-18,0.9999994810373344
2020-03-15,2020-01-01,74.0,7.946910859228765e-09,6.636260854532805e-07,1.7688366005038328e-09,0.0,4.75137419965547e-18,0.999999326658167
2020-03-22,2020-01-01,81.0,1.1560694748356233e-08,8.596610490201138e-07,2.595199044449157e-09,0.0,7.331068640910247e-18,0.9999991261830572
2020-03-29,2020-01-01,88.0,1.6817625919354792e-08,1.113604407697839e-06,3.807620316805237e-09,2.220445847241803e-16,1.1311373163526699e-17,0.9999988657703458
2020-04-05,2020-01-01,95.0,2.4464693105854957e-08,1.4425620200053662e-06,5.586458423045884e-09,2.2204457026123565e-16,1.745272979860686e-17,0.9999985273868282
2020-04-12,2020-01-01,102.0,3.5588379180551306e-08,1.8686926138492278e-06,8.19633122016919e-09,4.4408909831307277e-16,2.6928451913714035e-17,0.9999980875226752
2020-04-19,2020-01-01,109.0,5.1768890021291354e-08,2.4207002645983e-06,1.2025479830643191e-08,6.661335562849958e-16,4.154888664968191e-17,0.9999975155053648
2020-04-26,2020-01-01,116.0,7.530440052259742e-08,3.1357676626033267e-06,1.7643522678830563e-08,8.881779017441157e-16,6.410728276649317e-17,0.9999967712844131
2020-05-03,2020-01-01,123.0,1.0953707533426794e-07,4.0620603111753e-06,2.5886191158358685e-08,1.554310899295861e-15,9.891344157020265e-17,0.9999958025164206
2020-05-10,2020-01-01,130.0,1.5932699180506016e-07,5.261970213223439e-06,3.797964993794571e-08,2.4424876098451198e-15,1.5261710385730925e-16,0.9999945407231424
2020-05-17,2020-01-01,137.0,2.3174097567739718e-07,6.816317315744096e-06,5.5722897279428605e-08,3.996795744436173e-15,2.3547837826973594e-16,0.999992896218807
2020-05-24,2020-01-01,144.0,3.370536364818269e-07,8.82979135743037e-06,8.175537731968277e-08,6.439277187845225e-15,3.633279200941761e-16,0.9999907513996219
2020-05-31,2020-01-01,151.0,4.902018250136749e-07,1.143800006043706e-05,1.199496077610558e-07,1.0658102855765666e-14,5.605913383761494e-16,0.9999879518484955
2020-06-07,2020-01-01,158.0,7.1289741782734e-07,1.4816597400690957e-05,1.7598723099412126e-07,1.731939220065758e-14,8.649556126567954e-16,0.9999842945179324
2020-06-14,2020-01-01,165.0,1.0366955872554723e-06,1.9193105099159855e-05,2.582041604211162e-07,2.7977424188610374e-14,1.3345689690773884e-15,0.9999795119951238
2020-06-21,2020-01-01,172.0,1.507449282621991e-06,2.4862220728388763e-05,3.788305314224667e-07,4.574074326309266e-14,2.0591496025767613e-15,0.9999732514994097
2020-06-28,2020-01-01,179.0,2.191773819479282e-06,3.2205638717326276e-05,5.558098554896153e-07,7.46059811491525e-14,3.1771252451149284e-15,0.9999650467775298
2020-07-05,2020-01-01,186.0,3.1864245909309004e-06,4.17177112331729e-05,8.154679032054929e-07,1.2167817668531751e-13,4.902077406771373e-15,0.9999542803961461
2020-07-12,2020-01-01,193.0,4.63189368274852e-06,5.403866374361055e-05,1.1964281391879998e-06,1.9828073990128536e-13,7.563540994938851e-15,0.9999401330142286
2020-07-19,2020-01-01,200.0,6.7321115155635825e-06,6.999757961385974e-05,1.755355780012487e-06,3.232855173130734e-13,1.1669950954220557e-14,0.9999215149527555
2020-07-26,2020-01-01,207.0,9.782974333948706e-06,9.066801038359918e-05,2.575384163385358e-06,5.26886244585674e-13,1.8005755232785534e-14,0.9998969736305741
2020-08-02,2020-01-01,214.0,1.421361625924318e-05,0.00011743989223199963,3.7784753259045525e-06,8.590332403303168e-13,2.7781233358182873e-14,0.999864568015296
2020-08-09,2020-01-01,221.0,2.0646059268081245e-05,0.00015211250249523526,5.543550294157099e-06,1.400529035898754e-12,4.2863613347774523e-14,0.9998216978864992
2020-08-16,2020-01-01,228.0,2.998132077706753e-05,0.00019701453100131908,8.133079515698242e-06,2.283219560040501e-12,6.613357771241151e-14,0.9997648710663565
2020-08-23,2020-01-01,235.0,4.3523534867927364e-05,0.0002551590377346813,1.19320755412031e-05,3.7221572873170424e-12,1.0203513236177771e-13,0.999689385348032
2020-08-30,2020-01-01,242.0,6.315855865095646e-05,0.00033044319751640995,1.7505261004695476e-05,6.068151011614556e-12,1.5742359935965952e-13,0.9995888929766023
2020-09-06,2020-01-01,249.0,9.161044187484489e-05,0.00042790537287043637,2.568086004995131e-05,9.892197161545938e-12,2.4287312018926245e-13,0.9994548033150696
2020-09-13,2020-01-01,256.0,0.00013280876375356017,0.0005540552752010551,3.767336318519208e-05,1.6125656434325065e-11,3.7469213817941554e-13,0.9992754625813598
2020-09-20,2020-01-01,263.0,0.0001924131144655997,0.0007172967989917073,5.526329300742501e-05,2.6286112044390775e-11,5.7802907436083e-13,0.9990350267666712
2020-09-27,2020-01-01,270.0,0.00027855904148795326,0.0009284674766276661,8.10602312439782e-05,4.284538314505879e-11,8.91655452571997e-13,0.9987119132069034
2020-10-04,2020-01-01,277.0,0.0004029138221479972,0.0012015231414491266,0.0001188872483174593,6.983050400944406e-11,1.3753272733339962e-12,0.9982766757168797
2020-10-11,2020-01-01,284.0,0.0005821615438965701,0.001554400671870008,0.000174341901600569,1.1379742902962748e-10,2.1211031861861308e-12,0.9976890957667143
2020-10-18,2020-01-01,291.0,0.0008400754981714209,0.002010094313010256,0.0002556131180716349,1.8541578542501513e-10,3.2707223084666412e-12,0.9968942168820601
2020-10-25,2020-01-01,298.0,0.0012103801091688418,0.0025979795448500057,0.00037466702363489317,3.02035452913665e-10,5.042234845448415e-12,0.9958169730152686
2020-11-01,2020-01-01,305.0,0.001740648230746263,0.0033554083030031957,0.0005489608893409421,4.918436366762988e-10,7.770703498158843e-12,0.9943549820772952
2020-11-08,2020-01-01,312.0,0.002497507000007077,0.0043295728565451875,0.0008039051964525906,8.00570170752314e-10,1.1970180556697022e-11,0.9923690141344548
2020-11-15,2020-01-01,319.0,0.0035734030228796987,0.005579580220874071,0.0011763695925189068,1.3022653767103194e-09,1.8427600381514978e-11,0.9896706458430343
2020-11-22,2020-01-01,326.0,0.00509504000484672,0.007178575346168482,0.0017196134930255516,2.116528605756774e-09,2.8344023201513028e-11,0.9860067690110865
2020-11-29,2020-01-01,333.0,0.007233230604671519,0.009215572684757346,0.0025100971943668266,3.4358452926202023e-09,4.354506978054768e-11,0.9810410960368139
2020-12-06,2020-01-01,340.0,0.01021310304149078,0.011796371236927106,0.0036566491870344137,5.568527496677083e-09,6.679036453335028e-11,0.9743338708992298
2020-12-13,2020-01-01,347.0,0.014322085813094527,0.015042517685246882,0.005312338773330406,9.0052810396545e-09,1.0222067685138531e-10,0.9653230486208265
2020-12-20,2020-01-01,354.0,0.01991053724786848,0.01908677556794407,0.007688972455977031,1.4520637597267333e-08,1.5598944625666411e-10,0.9533137000515833
2020-12-27,2020-01-01,361.0,0.027376163863108868,0.02406311493091928,0.011073172649222715,2.3324280129335652e-08,2.371296285185003e-10,0.9374875249953393
2021-01-03,2020-01-01,368.0,0.03711916821424587,0.030089264163377472,0.015841286523276942,3.728139542753788e-08,3.587052867419892e-10,0.9169502434589989
2021-01-10,2020-01-01,375.0,0.049453031556870454,0.037241099287336696,0.022467918541121172,5.9226132527655515e-08,5.392958084851831e-10,0.8908378908492435
2021-01-17,2020-01-01,382.0,0.06446184409008215,0.0455214342482111,0.03152031906216934,9.340140698607954e-08,8.048874330974072e-10,0.8584963083932431
2021-01-24,2020-01-01,389.0,0.08181753208612577,0.054831146055348806,0.043629729131094815,1.4608222028512453e-07,1.1913713675442082e-09,0.8197214454538391
2021-01-31,2020-01-01,396.0,0.10061320171375165,0.06495554393642325,0.05943277294427585,2.2649967739050113e-07,1.7481772855306463e-09,0.7749982531576945
2021-02-07,2020-01-01,403.0,0.119316797243785,0.075577822500547,0.07948062152562124,3.4830733439129295e-07,2.5441846179310138e-09,0.7256244078785278
2021-02-14,2020-01-01,410.0,0.13595716881178488,0.08631967050003116,0.10411717518981434,5.320419557191315e-07,3.6779011331439764e-09,0.6736054497785128
2021-02-21,2020-01-01,417.0,0.14857145849014322,0.09679202941721263,0.13333015342413096,8.093435904620505e-07,5.29487055268951e-09,0.6213055440300522
2021-02-28,2020-01-01,424.0,0.15577830630409456,0.10663336386338963,0.1665974547969152,1.2301936954187087e-06,7.616655057878003e-09,0.5709896372252501
2021-03-07,2020-01-01,431.0,0.1572070203643848,0.1155270625409708,0.2028040505190537,1.875353113265597e-06,1.0988601686800314e-08,0.5244599802338757
2021-03-14,2020-01-01,438.0,0.15354646932074997,0.12320552851541523,0.24035282348527978,2.8779400011338098e-06,1.5959160586268864e-08,0.48289228477939333
2021-03-21,2020-01-01,445.0,0.1461947512659059,0.12944577164657817,0.2775310141593921,4.461117600241427e-06,2.341215952780137e-08,0.44682397839836413
2021-03-28,2020-01-01,452.0,0.13672972699023622,0.13405451270707108,0.31300354663207025,7.003838970708118e-06,3.47859898107786e-08,0.41620517504566185
2021-04-04,2020-01-01,459.0,0.1264819278382811,0.13685265739994013,0.3461685999271633,1.1155188591301154e-05,5.2434488383143656e-08,0.39048560721153575
2021-04-11,2020-01-01,466.0,0.11635070525941564,0.13768161080826435,0.37720119881185094,1.803331664608515e-05,8.022136892039464e-08,0.36874837158245394
2021-04-18,2020-01-01,473.0,0.10682530368740008,0.13643937164071704,0.4068296365552251,2.9572273241028122e-05,1.2450233225171836e-07,0.34987599134108455
2021-04-25,2020-01-01,480.0,0.09809783856842756,0.13312659457369047,0.4360156902502125,4.912685076270749e-05,1.9574762363592012e-07,0.33271055400928323
2021-05-02,2020-01-01,487.0,0.09018102514319029,0.12787373099001967,0.4656809090153154,8.252434928005734e-05,3.112110759945027e-07,0.31618149929111866
2021-05-09,2020-01-01,494.0,0.08299555207474092,0.12093488568981603,0.49653138446155215,0.00013988330088646417,4.992883109731717e-07,0.29939779518469345
2021-05-16,2020-01-01,501.0,0.07642517436790744,0.11265402360791137,0.5289700436316648,0.00023873418111203132,8.065676614842191e-07,0.28171121764374296
2021-05-23,2020-01-01,508.0,0.07034868434998201,0.10341960201562175,0.5630668690084955,0.00040932366688341254,1.3091201552646993e-06,0.26275421183886216
2021-05-30,2020-01-01,515.0,0.06465776710945824,0.09362256591137146,0.5985641853729803,0.0007035326119366836,2.130384233882616e-06,0.24244981861001935
2021-06-06,2020-01-01,522.0,0.059266506450241556,0.08362552361439034,0.6349053023439596,0.0012096885548543439,3.469204131519584e-06,0.2209895098324227
2021-06-13,2020-01-01,529.0,0.05411537708431848,0.07374389279275428,0.6712795091455446,0.0020768308748040617,5.6433610923995056e-06,0.19877874674148624
2021-06-20,2020-01-01,536.0,0.04917085065637807,0.06423605238190656,0.7066728306318769,0.003553786702146114,9.156516430026933e-06,0.1763573231112623
2021-06-27,2020-01-01,543.0,0.044421241829572605,0.055299167278964396,0.7399057789489286,0.006050600619320248,1.4800015320129475e-05,0.15430841130789397
2021-07-04,2020-01-01,550.0,0.03986973326503095,0.04706878196883793,0.7696328200641773,0.01023145269998063,2.3805214959479057e-05,0.13317340678701364
2021-07-11,2020-01-01,557.0,0.03552612636219077,0.039621798047233106,0.7942803795099298,0.017145868873582555,3.806542230781307e-05,0.11338776178475589
2021-07-18,2020-01-01,564.0,0.03139939039127299,0.03298320602229489,0.8119196985730062,0.028390065026128904,6.0445140550544024e-05,0.09524719484674635
2021-07-25,2020-01-01,571.0,0.02749345065070135,0.027136996228154624,0.8201225634134878,0.04624495630757197,9.518120198064405e-05,0.07890685219810373
2021-08-01,2020-01-01,578.0,0.023808862904373927,0.022041326789620633,0.8159510092890513,0.0736400151713445,0.0001483538718370273,0.06441043197377275
2021-08-08,2020-01-01,585.0,0.020352297199186853,0.017646867106246498,0.7963699864436944,0.11366156455708462,0.00022840677485608113,0.05174087791893155
2021-08-15,2020-01-01,592.0,0.017151692062359825,0.013913901345106628,0.7593762250858844,0.16833697401069433,0.0003468813569453494,0.040874326139009536
2021-08-22,2020-01-01,599.0,0.01426583344014262,0.010818631484772375,0.7056322465038861,0.23695829671697693,0.0005201655489484965,0.03180482630527354
2021-08-29,2020-01-01,606.0,0.011770932977505933,0.008339738944734281,0.6393583335426579,0.31524608023522016,0.0007740446497077068,0.02451086965017391
2021-09-05,2020-01-01,613.0,0.009721876464384644,0.006432192031196828,0.5670265395487492,0.39678252543596004,0.0011531859142472,0.018883680605462128
2021-09-12,2020-01-01,620.0,0.008116681016170156,0.005013115823144137,0.4944131313515021,0.47602944419542165,0.001736749501222242,0.014690878112539642
2021-09-19,2020-01-01,627.0,0.006894754941803819,0.00397430553291117,0.4245989534411215,0.5502527931915461,0.0026608122589157346,0.011618380633701676
2021-09-26,2020-01-01,634.0,0.005964250417261536,0.0032080005548977904,0.35835313531213575,0.6189749203807486,0.0041494813562999895,0.00935021197865635
2021-10-03,2020-01-01,641.0,0.005232379642758431,0.0026257883367495796,0.2957928145451988,0.6821655411035737,0.006557095661234347,0.0076263807104850895
2021-10-10,2020-01-01,648.0,0.004623620873170427,0.002164648425039453,0.2375997852682487,0.7389285733639837,0.010421850672389365,0.0062615213971683745
2021-10-17,2020-01-01,655.0,0.004085966521558167,0.0017845144055008055,0.1851315140567844,0.7873327973477237,0.016527378935917745,0.005137828732515069
2021-10-24,2020-01-01,662.0,0.0035896016736755936,0.0014624340682604234,0.1397992799531297,0.8249992225330538,0.02596171848047544,0.004187743291405052
2021-10-31,2020-01-01,669.0,0.003121550356957231,0.001186305547638211,0.10241233219462476,0.8497591760346745,0.04014520794258459,0.0033754279235207268
2021-11-07,2020-01-01,676.0,0.0026792372222088977,0.0009497947089703436,0.0729231245404766,0.8600028789722597,0.06076312791049962,0.00268183664558499
2021-11-14,2020-01-01,683.0,0.0022653167434667685,0.0007490993063050358,0.050577383305962564,0.854815869174901,0.08949704672386836,0.002095284745496263
2021-11-21,2020-01-01,690.0,0.0018847129863164115,0.00058136561970188,0.034239028807500946,0.8342311052905194,0.12745692120565452,0.0016068660903069737
2021-11-28,2020-01-01,697.0,0.0015432545905961696,0.0004440568833649602,0.022681406231949558,0.799746569758309,0.1743760987453074,0.0012086137904728032
2021-12-05,2020-01-01,704.0,0.001246545517154485,0.00033458787981294175,0.014762354924201805,0.7547890268178621,0.22797507602818906,0.0008924088327795249
2021-12-12,2020-01-01,711.0,0.0009982378499723925,0.00024994342973225215,0.009499294417160822,0.7044604561203441,0.2841431992869182,0.0006488688958720801
2021-12-19,2020-01-01,718.0,0.0007982663322805956,0.0001864515066078602,0.0060923665909654,0.6542463318317626,0.33820982335370586,0.0004667603846775839
2021-12-26,2020-01-01,725.0,0.0006423909362169653,0.00013996924208034,0.003926912913631428,0.6083020505550911,0.3866550171338765,0.00033365921910365247
