date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,2.3582396477518766e-10,8.14085696096999e-08,7.291945681229432e-12,0.0,3.997070182764124e-20,0.9999999183483145
2020-01-12,2020-01-01,11.0,3.44016719782916e-10,1.0611333487647093e-07,1.0474067618512321e-11,0.0,6.113177222087156e-20,0.9999998935321743
2020-01-19,2020-01-01,18.0,5.01842774045161e-10,1.3831516473291807e-07,1.5044413004249022e-11,0.0,9.349582157724125e-20,0.9999998611679481
2020-01-26,2020-01-01,25.0,7.320692065723108e-10,1.8028916481796952e-07,2.1608942039694873e-11,0.0,1.4299387091356108e-19,0.999999818957157
2020-02-02,2020-01-01,32.0,1.0679040283774509e-09,2.3500085816621234e-07,3.103807043885358e-11,0.0,2.186969112590402e-19,0.9999997639001997
2020-02-09,2020-01-01,39.0,1.5577829384538235e-09,3.0631570200320044e-07,4.458168885069745e-11,0.0,3.3447825073429325e-19,0.9999996920819333
2020-02-16,2020-01-01,46.0,2.272350546186517e-09,3.992721868976938e-07,6.403503075401424e-11,0.0,5.115559336232832e-19,0.9999995983914275
2020-02-23,2020-01-01,53.0,3.314639052948255e-09,5.204378109259827e-07,9.197692736094021e-11,0.0,7.823811555696901e-19,0.999999476155573
2020-03-01,2020-01-01,60.0,4.83490806960374e-09,6.783730777377999e-07,1.321113141074414e-10,0.0,1.196585267186581e-18,0.9999993166599029
2020-03-08,2020-01-01,67.0,7.052281009441603e-09,8.842363005094032e-07,1.897586187822207e-10,0.0,1.8300752172992735e-18,0.9999991085216599
2020-03-15,2020-01-01,74.0,1.028628176875857e-08,1.1525719397106578e-06,2.7256053728399275e-10,0.0,2.7989442743779985e-18,0.999998836869218
2020-03-22,2020-01-01,81.0,1.500279828619007e-08,1.5023381667811329e-06,3.9149345636791535e-10,2.220449555635945e-16,4.280747321448527e-18,0.9999984822675412
2020-03-29,2020-01-01,88.0,2.188106095882221e-08,1.958246246046821e-06,5.623230880120634e-10,2.2204504767165824e-16,6.54703966939139e-18,0.9999980193103697
2020-04-05,2020-01-01,95.0,3.191121839813645e-08,2.5525063546288014e-06,8.07695055720526e-10,4.440903271733536e-16,1.0013142521521604e-17,0.9999974147747315
2020-04-12,2020-01-01,102.0,4.653646098603822e-08,3.3271031623057307e-06,1.1601361148481477e-09,6.661359279497999e-16,1.5314255248481233e-17,0.9999966252002399
2020-04-19,2020-01-01,109.0,6.78599563906042e-08,4.336761915309702e-06,1.6663665985477091e-09,1.1102274616435562e-15,2.3421863085364116e-17,0.9999955937117606
2020-04-26,2020-01-01,116.0,9.894605528629456e-08,5.6528145210815675e-06,2.39349345304364e-09,1.776365775046015e-15,3.582177366572389e-17,0.9999942458459284
2020-05-03,2020-01-01,123.0,1.4425851989580087e-07,7.368238688679449e-06,3.437906611218734e-09,3.108644131838102e-15,5.478641041363316e-17,0.9999924840648817
2020-05-10,2020-01-01,130.0,2.10297785666804e-07,9.60422597911637e-06,4.938056338146423e-09,5.107066487858026e-15,8.379126529089375e-17,0.9999901805381737
2020-05-17,2020-01-01,137.0,3.0652710362790526e-07,1.2518742533375855e-05,7.092807535630459e-09,8.437779085718193e-15,1.2815183386540573e-16,0.9999871676375468
2020-05-24,2020-01-01,144.0,4.467175500516298e-07,1.6317686827445622e-05,1.018780269363002e-08,1.3766937409844208e-14,1.9599776469005444e-16,0.9999832254078058
