date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,6.321266189738011e-11,5.204630713427703e-05,2.2203305408505437e-16,0.0,1.0372241947871134e-27,0.9999479536296528
2020-01-12,2020-01-01,11.0,9.517449010003739e-11,6.090812335086955e-05,6.660932620424617e-16,0.0,1.8702887246221877e-27,0.9999390917814741
2020-01-19,2020-01-01,18.0,1.432965389953555e-10,7.127844380719698e-05,8.881151435238448e-16,0.0,3.3724383380505555e-27,0.9999287214128953
2020-01-26,2020-01-01,25.0,2.157496910448564e-10,8.341392153742663e-05,1.776208742088843e-15,0.0,6.0810505514475796e-27,0.999916585862711
2020-02-02,2020-01-01,32.0,3.248355448784707e-10,9.761482940617238e-05,3.108321179569361e-15,0.0,1.0965092842088495e-26,0.9999023848457551
2020-02-09,2020-01-01,39.0,4.890748355074173e-10,0.00011423245720808492,5.328462093576751e-15,0.0,1.977174332852106e-26,0.9998857670537117
2020-02-16,2020-01-01,46.0,7.363524368984658e-10,0.0001336777573819758,9.546642383850452e-15,0.0,3.5651383470616167e-26,0.9998663215062561
2020-02-23,2020-01-01,53.0,1.1086496804405435e-09,0.00015643144804524032,1.665074179705119e-14,0.0,6.428451557231636e-26,0.9998435674432885
2020-03-01,2020-01-01,60.0,1.6691702390378952e-09,0.00018305581619787375,2.9082521864622994e-14,0.0,1.1591367737703553e-25,0.9998169425146027
2020-03-08,2020-01-01,67.0,2.513069083196588e-09,0.00021420850342207762,5.128132378839002e-14,0.0,2.0900709452609113e-25,0.9997857889834575
2020-03-15,2020-01-01,74.0,3.783599099581015e-09,0.00025065860192145995,9.012752881023132e-14,0.0,3.768643649197409e-25,0.9997493376143893
2020-03-22,2020-01-01,81.0,5.696422233928743e-09,0.00029330544110902447,1.582714036020266e-13,0.0,6.795265531673127e-25,0.9997066888623104
2020-03-29,2020-01-01,88.0,8.576200112654885e-09,0.0003432005050276401,2.783484524389763e-13,0.0,1.225249816844924e-24,0.9996567909184939
2020-04-05,2020-01-01,95.0,1.2911672389793493e-08,0.0004015729895088157,4.889680089751234e-13,0.0,2.2092211099926845e-24,0.99959841409833
2020-04-12,2020-01-01,102.0,1.9438555814169912e-08,0.0004698595860651332,8.591312097614928e-13,0.0,3.983358771066442e-24,0.99953012097452
2020-04-19,2020-01-01,109.0,2.926430661172079e-08,0.0005497391678644493,1.5095180214524266e-12,2.2192267295684042e-16,7.182152754783381e-24,0.9994502315663192
2020-04-26,2020-01-01,116.0,4.405587708305241e-08,0.0006431731524402174,2.6521722944367153e-12,2.219019657326574e-16,1.2949529114396669e-23,0.9993567827890304
2020-05-03,2020-01-01,123.0,6.632224129851985e-08,0.0007524524265110054,4.659654672661333e-12,2.218777521385338e-16,2.3347826000723255e-23,0.9992474812465878
2020-05-10,2020-01-01,130.0,9.983947885436417e-08,0.0008802518404118998,8.186688103849168e-12,4.43698883737966e-16,4.2095036941151283e-23,0.9991196483119221
2020-05-17,2020-01-01,137.0,1.5029026151784553e-07,0.001029693412571304,1.4383459164410371e-11,8.872653855043176e-16,7.589374188288054e-23,0.998970156282783
2020-05-24,2020-01-01,144.0,2.262257275613403e-07,0.0012044195265949577,2.526956868715297e-11,1.5524436402179475e-15,1.3682645801775008e-22,0.9987953542224063
2020-05-31,2020-01-01,151.0,3.405119901747538e-07,0.0014086775517847027,4.4393941934557757e-11,2.6607894713391885e-15,2.466728850445003e-22,0.9985909818918286
2020-06-07,2020-01-01,158.0,5.125049520732553e-07,0.001647417467279447,7.79893344538515e-11,4.211913085785344e-15,4.446904569404482e-22,0.998352069949775
2020-06-14,2020-01-01,165.0,7.713192093925703e-07,0.0019264042124392806,1.3700221307720423e-10,7.0917739314722556e-15,8.016351985317961e-22,0.998072824331342
2020-06-21,2020-01-01,172.0,1.1607397975595064e-06,0.0022523466096711397,2.4065797737934843e-10,1.1963477467773477e-14,1.4450251754349543e-21,0.9977464924098614
2020-06-28,2020-01-01,179.0,1.7465994358472895e-06,0.0026330447930962204,4.227164504155516e-10,1.9931557798589568e-14,2.604655768693472e-21,0.9973652081847315
2020-07-05,2020-01-01,186.0,2.6278534530362906e-06,0.003077558102351053,7.424551788099416e-10,3.32045352370997e-14,4.694589377144837e-21,0.9969198133017075
2020-07-12,2020-01-01,193.0,3.953196010763668e-06,0.003596395330346625,1.3039447890707986e-09,5.5312253823376484e-14,8.460824276294618e-21,0.9963996501696425
2020-07-19,2020-01-01,200.0,5.945972513681472e-06,0.004201728998419364,2.2898690674182463e-09,9.198401428028449e-14,1.52472043401179e-20,0.9957923227391059
2020-07-26,2020-01-01,207.0,8.941498303317965e-06,0.004907634905593023,4.020855248515272e-09,1.535669785942974e-13,2.747413902025367e-20,0.9950834195750949
2020-08-02,2020-01-01,214.0,1.3442903790760765e-05,0.005730357470369258,7.059523767142448e-09,2.5588195656250997e-13,4.9500222041803224e-20,0.9942561925660603
2020-08-09,2020-01-01,221.0,2.0204597725007803e-05,0.006688600232172228,1.2392909410705858e-08,4.263558040328187e-13,8.917253427347584e-20,0.993291182776767
2020-08-16,2020-01-01,228.0,3.0356815211282836e-05,0.007803839142530395,2.1752163500831746e-08,7.105349678325364e-13,1.6061510453764335e-19,0.9921657822893842
2020-08-23,2020-01-01,235.0,4.559112503456056e-05,0.009100653736087162,3.817260771492468e-08,1.1837871398716287e-12,2.8924233150603597e-19,0.9908537169650868
2020-08-30,2020-01-01,242.0,6.843609523943146e-05,0.010607067638984367,6.69743480329917e-08,1.9718265253061704e-12,5.207683989201091e-19,0.9893244292894564
2020-09-06,2020-01-01,249.0,0.00010266577014672411,0.012354884760575032,1.174782537754175e-07,3.283812183656046e-12,9.373887228230237e-19,0.9875423319877407
2020-09-13,2020-01-01,256.0,0.00015390281196946714,0.014380000406659673,2.0600671540339343e-07,5.467070756850242e-12,1.6868239154710759e-18,0.9854658907691884
2020-09-20,2020-01-01,263.0,0.0002305051576729304,0.0167226567545264,3.61126911955203e-07,9.09911565220329e-12,3.034410872768316e-18,0.9830464769517897
2020-09-27,2020-01-01,270.0,0.00034486223802180813,0.01942759871066184,6.328038058216251e-07,1.5137782201500814e-11,5.45644554962904e-18,0.9802269062323726
2020-10-04,2020-01-01,277.0,0.0005152765784103517,0.022544067891372643,1.108360264519433e-06,2.5172430389127308e-11,9.807266887248367e-18,0.97693954714478
2020-10-11,2020-01-01,284.0,0.000768670311530397,0.026125547717961738,1.940269277689423e-06,4.183738038023856e-11,1.7617955847341418e-17,0.9731038416593928
2020-10-18,2020-01-01,291.0,0.001144431887349908,0.030229139451813353,3.3944708237527014e-06,6.94911843327495e-11,3.162950071219538e-17,0.9686230341205219
2020-10-25,2020-01-01,298.0,0.00169979630271202,0.03491440540793952,5.934202106945613e-06,1.1533914772478593e-10,5.674267842134961e-17,0.9633798639719022
2020-11-01,2020-01-01,305.0,0.0025172059461054963,0.04024146049908952,1.0365080838237312e-05,1.9126877021582784e-10,1.0170640555838029e-16,0.9572309682826979
2020-11-08,2020-01-01,312.0,0.003714069200730213,0.04626802907292814,1.8085412107897348e-05,3.168536952523489e-10,1.8210994685495702e-16,0.9499998159973798
2020-11-15,2020-01-01,319.0,0.005455100921886072,0.053045122405854496,3.151632974392309e-05,5.242369055076057e-10,3.2566660838787966e-16,0.9414682598182783
2020-11-22,2020-01-01,326.0,0.007966773914688894,0.06061096610309631,5.483730346341684e-05,8.660328675339887e-10,5.815013846348617e-16,0.9313674218127179
2020-11-29,2020-01-01,333.0,0.01155197119028314,0.06898289161733905,9.523602992311738e-05,1.4280198638408064e-09,1.0363854842790084e-15,0.9193698997344338
2020-12-06,2020-01-01,340.0,0.01660019196052351,0.07814725237826962,0.000165016623491164,2.349361871974202e-09,1.8429252149805793e-15,0.9050875366883521
2020-12-13,2020-01-01,347.0,0.023584116869111584,0.08804828652262339,0.0002851254168577732,3.854544310441199e-09,3.2681469538077265e-15,0.8880824673368597
2020-12-20,2020-01-01,354.0,0.03302704273235133,0.09857855227595444,0.0004909973881163032,6.303420073024457e-09,5.77664278344011e-15,0.8679034013001522
2020-12-27,2020-01-01,361.0,0.04541969525454035,0.10957627454833009,0.0008421880002103164,1.026940344011683e-08,1.0172207315665373e-14,0.8441618319275056
2021-01-03,2020-01-01,368.0,0.061065545501977736,0.12083798702038183,0.0014382267668888783,1.6662553634321985e-08,1.7839483310630104e-14,0.81665822404818
2021-01-10,2020-01-01,375.0,0.07985300024439415,0.132155520979403,0.0024449252024859986,2.6927840035807027e-08,3.1161112924414685e-14,0.7855465266458457
2021-01-17,2020-01-01,382.0,0.10100279486673076,0.14337921768582196,0.004138756930281577,4.337651651425074e-08,5.425463507639045e-14,0.7514791871405948
2021-01-24,2020-01-01,389.0,0.12291109996111463,0.15448890870514684,0.006982740967101956,6.975995804495752e-08,9.431029951766525e-14,0.7156171806065842
2021-01-31,2020-01-01,396.0,0.14324734415437074,0.16562501101409868,0.011754555314985215,1.1227493571392842e-07,1.6406142500665544e-13,0.6793729772414456
