date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,6.321326686612502e-11,4.224158500844163e-05,4.440704632982083e-16,0.0,9.826794519404818e-28,0.9999577583517778
2020-01-12,2020-01-01,11.0,9.517556689219392e-11,4.930033882527196e-05,6.661009963194977e-16,0.0,1.7700033290064234e-27,0.9999506995659985
2020-01-19,2020-01-01,18.0,1.4329845510090384e-10,5.7538335821893735e-05,1.11015918835551e-15,0.0,3.1881282219768402e-27,0.9999424615208785
2020-01-26,2020-01-01,25.0,2.1575309979819601e-10,6.715247765039773e-05,1.7762376376526756e-15,0.0,5.742445463891118e-27,0.9999328473065947
2020-02-02,2020-01-01,32.0,3.2484160747911174e-10,7.837250768097522e-05,3.330408234669151e-15,0.0,1.0343256205186894e-26,0.9999216271674741
2020-02-09,2020-01-01,39.0,4.890856152391633e-10,9.146647658630496e-05,5.772632088946968e-15,0.0,1.8630172352685454e-26,0.9999085330343223
2020-02-16,2020-01-01,46.0,7.363715989219293e-10,0.00010674711333419632,9.990941484050172e-15,0.0,3.355641175256187e-26,0.9998932521502842
2020-02-23,2020-01-01,53.0,1.1086837335732188e-09,0.00012457925013691966,1.753934040536156e-14,0.0,6.04411961515098e-26,0.9998754196411619
2020-03-01,2020-01-01,60.0,1.669230738647416e-09,0.00014538847377004038,3.085971704211137e-14,0.0,1.088652554433505e-25,0.9998546098569684
2020-03-08,2020-01-01,67.0,2.5131765378892937e-09,0.0001696712032055671,5.439170742580441e-14,0.0,1.9608484806126364e-25,0.9998303262835635
2020-03-15,2020-01-01,74.0,3.783789896905923e-09,0.00019800642519499589,9.568229652111771e-14,0.0,3.531807466221353e-25,0.9998019897909195
2020-03-22,2020-01-01,81.0,5.696760914084816e-09,0.00023106935583315177,1.6827096716743037e-13,0.0,6.361330459591928e-25,0.9997689249472377
2020-03-29,2020-01-01,88.0,8.576801111616116e-09,0.00026964733781381113,2.959057550468284e-13,0.0,1.14576751732111e-24,0.9997303440850893
2020-04-05,2020-01-01,95.0,1.291273854290639e-08,0.00031465833066309423,5.203090293223969e-13,0.0,2.0636795965543134e-24,0.999685328756078
2020-04-12,2020-01-01,102.0,1.944044651194749e-08,0.0003671724053452802,9.147103995892431e-13,0.0,3.716933481453769e-24,0.9996328081532935
2020-04-19,2020-01-01,109.0,2.9267658390912304e-08,0.00042843671584958965,1.6082471676431386e-12,2.2194965051658036e-16,6.694582902420726e-24,0.9995715340148836
2020-04-26,2020-01-01,116.0,4.406181689570992e-08,0.0004999044892563466,2.8276590012494017e-12,2.2193383574675532e-16,1.2057516071333469e-23,0.999500051446099
2020-05-03,2020-01-01,123.0,6.633276349923515e-08,0.0005832686527435048,4.9717925464150025e-12,4.4383079328825423e-16,2.1716360216822054e-23,0.9994166650095208
2020-05-10,2020-01-01,130.0,9.985811123434626e-08,0.0006805008012213381,8.7415102245125e-12,6.656817025901175e-16,3.911201931025311e-23,0.9993193993319253
2020-05-17,2020-01-01,137.0,1.503232413384664e-07,0.0007938963026196452,1.5369298689132117e-11,8.874753833659941e-16,7.044115518873386e-23,0.9992059533587689
