date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,1.8715063660044749e-10,7.19112720309522e-08,3.8671510122700844e-11,0.0,6.237573262853998e-20,0.9999999278629057
2020-01-12,2020-01-01,11.0,2.7226977480804603e-10,9.36030555181352e-08,5.674594053014374e-11,0.0,9.624968898591391e-20,0.9999999060679288
2020-01-19,2020-01-01,18.0,3.9610125986376277e-10,1.2183808675706704e-07,8.326850150160969e-11,0.0,1.4851933947867925e-19,0.9999998776825436
2020-01-26,2020-01-01,25.0,5.76251532145042e-10,1.5859011208482567e-07,1.2218692348806707e-10,0.0,2.291747055431186e-19,0.9999998407114495
2020-02-02,2020-01-01,32.0,8.383328556543211e-10,2.0642824859806945e-07,1.7929545925516303e-10,0.0,3.5363101953376504e-19,0.999999792554123
2020-02-09,2020-01-01,39.0,1.219605454800216e-09,2.6869657592761424e-07,2.6309575017322986e-10,0.0,5.456749555332783e-19,0.9999997298207229
2020-02-16,2020-01-01,46.0,1.7742725613502734e-09,3.49747898942331e-07,3.8606314530196777e-10,0.0,8.420108483316484e-19,0.9999996480917654
2020-02-23,2020-01-01,53.0,2.581184740562744e-09,4.552480225629728e-07,5.665038798605458e-10,0.0,1.2992757939920427e-18,0.9999995416042889
2020-03-01,2020-01-01,60.0,3.755046493855093e-09,5.925718072788749e-07,8.312802234482957e-10,0.0,2.0048643881880305e-18,0.999999402841866
2020-03-08,2020-01-01,67.0,5.462714680744973e-09,7.713186905646408e-07,1.2198094929700341e-09,0.0,3.0936319712595196e-18,0.9999992219987853
2020-03-15,2020-01-01,74.0,7.946908154267651e-09,1.0039837063130013e-06,1.7899317826444126e-09,0.0,4.773668770264842e-18,0.9999989862794538
2020-03-22,2020-01-01,81.0,1.1560689578395477e-08,1.3068309032855072e-06,2.626521700805495e-09,0.0,7.366070987231805e-18,0.9999986789818854
2020-03-29,2020-01-01,88.0,1.681761603945432e-08,1.7010302092943995e-06,3.854121960213133e-09,2.2204445427899094e-16,1.1366310016820549e-17,0.9999982782980525
2020-04-05,2020-01-01,95.0,2.4464674227789063e-08,2.214137193457358e-06,5.655485717506423e-09,2.220443989215826e-16,1.753892885427299e-17,0.9999977557426464
2020-04-12,2020-01-01,102.0,3.5588343114188956e-08,2.8820191396388833e-06,8.298781048281331e-09,4.440886482594681e-16,2.7063664282961958e-17,0.9999970740937356
2020-04-19,2020-01-01,109.0,5.1768821126370696e-08,3.751362026003147e-06,1.2177514826045548e-08,6.661326697831124e-16,4.176092191767203e-17,0.9999961846916374
2020-04-26,2020-01-01,116.0,7.53042689359134e-08,4.8829335696496815e-06,1.786911128992285e-08,1.1102204371808867e-15,6.443969695409811e-17,0.999995023893049
2020-05-03,2020-01-01,123.0,1.0953682404372426e-07,6.355830302267696e-06,2.622087295092795e-08,1.9983951431092112e-15,9.94344348074288e-17,0.9999935084119986
2020-05-10,2020-01-01,130.0,1.5932651198424938e-07,8.273005329909555e-06,3.847611511067761e-08,3.1086112325896193e-15,1.5343343470089516e-16,0.9999915291920397
2020-05-17,2020-01-01,137.0,2.3174005962641095e-07,1.0768462786230538e-05,5.6459251914650595e-08,5.1069965969847695e-15,2.367571157802961e-16,0.999988943337897
2020-05-24,2020-01-01,144.0,3.370518878583063e-07,1.4016621235648492e-05,8.284738398335779e-08,8.215586893102659e-15,3.653304357942799e-16,0.9999855634794839
2020-05-31,2020-01-01,151.0,4.901984876229541e-07,1.8244499419814515e-05,1.215688142784794e-07,1.3544580164400853e-14,5.637264027301915e-16,0.9999811437332641
2020-06-07,2020-01-01,158.0,7.128910491501498e-07,2.3747574258117056e-05,1.7838780551833356e-07,2.2204150612397918e-14,8.698622921713712e-16,0.9999753611468643
2020-06-14,2020-01-01,165.0,1.0366834360451935e-06,3.091041636758562e-05,2.617626081250201e-07,3.619259278401179e-14,1.342245973547675e-15,0.9999677911375506
2020-06-21,2020-01-01,172.0,1.5074261026024177e-06,4.023354006150262e-05,3.8410444898324886e-07,5.928442065814908e-14,2.071156966855337e-15,0.9999578749293255
2020-06-28,2020-01-01,179.0,2.1917296088316233e-06,5.236833533939779e-05,5.636248128011394e-07,9.680818943137568e-14,3.1958985233775813e-15,0.999944876310139
2020-07-05,2020-01-01,186.0,3.18634028610291e-06,6.816250774443663e-05,8.270458378932694e-07,1.5831066535673712e-13,4.9314166179486435e-15,0.9999278241059683
2020-07-12,2020-01-01,193.0,4.631732957996669e-06,8.87191752970984e-05,1.2135769662637326e-06,2.591104078431442e-13,7.609370479911564e-15,0.9999054355145119
2020-07-19,2020-01-01,200.0,6.731805172268394e-06,0.00011547370725253717,1.780749138999415e-06,4.236268532775949e-13,1.1741498209648325e-14,0.999876013738001
2020-07-26,2020-01-01,207.0,9.782390596197019e-06,0.00015029359697206148,2.612973665480535e-06,6.927041696400062e-13,1.811737568354583e-14,0.9998373110380555
2020-08-02,2020-01-01,214.0,1.4212504279309176e-05,0.00019560821550873605,3.834097133642668e-06,1.132929355828366e-12,2.7955226887507674e-14,0.9997863451819174
2020-08-09,2020-01-01,221.0,2.064394174178517e-05,0.0002545772856582725,5.625815863448975e-06,1.8526024263938104e-12,4.313455524937271e-14,0.9997191529548407
