date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,6.321321252941378e-11,4.294891100286588e-05,2.2203507461580327e-16,0.0,9.826787569453818e-28,0.9999570510257837
2020-01-12,2020-01-01,11.0,9.517546929756331e-11,5.013499471188046e-05,6.661004404264299e-16,0.0,1.770001851854181e-27,0.999949864910112
2020-01-19,2020-01-01,18.0,1.4329827973926197e-10,5.8523116304224974e-05,1.1101580952526702e-15,0.0,3.188125082830626e-27,0.9999414767403965
2020-01-26,2020-01-01,25.0,2.157527845669667e-10,6.831423645139413e-05,1.7762355744350705e-15,0.0,5.742438793660555e-27,0.999931685547794
2020-02-02,2020-01-01,32.0,3.2484104056340845e-10,7.97428762124728e-05,3.108376760195489e-15,0.0,1.0343242033771052e-26,0.9999202567989433
2020-02-09,2020-01-01,39.0,4.890845952139187e-10,9.308270895786265e-05,5.328574856316228e-15,0.0,1.8630142248378657e-26,0.9999069168019521
2020-02-16,2020-01-01,46.0,7.363697627401152e-10,0.00010865307967707155,9.54688144860343e-15,0.0,3.3556347810489176e-26,0.9998913461839435
2020-02-23,2020-01-01,53.0,1.1086804265207375e-09,0.00012682660396829106,1.6873251593903494e-14,0.0,6.04410603555194e-26,0.9998731722873344
2020-03-01,2020-01-01,60.0,1.6692247793482559e-09,0.0001480380234919701,2.952756471414937e-14,0.0,1.088649670876402e-25,0.9998519603072537
2020-03-08,2020-01-01,67.0,2.5131657933917226e-09,0.00017279452291380182,5.172746229067588e-14,0.0,1.9608423583710516e-25,0.9998272029638687
2020-03-15,2020-01-01,74.0,3.783770513892962e-09,0.00020168774586469876,9.10199471292831e-14,0.0,3.531794469576064e-25,0.9997983084702737
2020-03-22,2020-01-01,81.0,5.69672592698927e-09,0.00023540778477318608,1.6005651874228387e-13,0.0,6.361302873562648e-25,0.9997645865183408
2020-03-29,2020-01-01,88.0,8.57673792100682e-09,0.0002747594621621357,2.810313366495628e-13,0.0,1.1457616629257565e-24,0.999725231960819
2020-04-05,2020-01-01,95.0,1.2912624344167644e-08,0.00032068126977116695,4.938910501153038e-13,0.0,2.0636671741073284e-24,0.9996793058171105
2020-04-12,2020-01-01,102.0,1.9440240002643885e-08,0.0003742673873004127,8.680919696751061e-13,0.0,3.716907126559592e-24,0.9996257131715914
2020-04-19,2020-01-01,109.0,2.9267284717523877e-08,0.00043679326527323355,1.5252252617164187e-12,2.219477971065805e-16,6.69452699871974e-24,0.9995631774659166
2020-04-26,2020-01-01,116.0,4.406114031000686e-08,0.0005097453270128302,2.6804905108375733e-12,2.2193165348878798e-16,1.205739751072542e-23,0.9994902106091661
2020-05-03,2020-01-01,123.0,6.633153765725419e-08,0.0005948554234197762,4.710099767785205e-12,4.4382565538612256e-16,2.171610882251788e-23,0.9994050782403321
2020-05-10,2020-01-01,130.0,9.985588879933869e-08,0.0006941407612888983,8.276751615390821e-12,6.656726319984086e-16,3.91114863691242e-23,0.9993057593745448
2020-05-17,2020-01-01,137.0,1.5031920946174474e-07,0.0008099501210789038,1.4543713365623623e-11,1.3311917286084741e-15,7.044002564158821e-23,0.9991898995451666
2020-05-24,2020-01-01,144.0,2.2627675755292418e-07,0.0009450172825727126,2.5555667104831074e-11,1.9965191616694625e-15,1.2686049168136318e-22,0.9990547564151121
2020-05-31,2020-01-01,151.0,3.406018796718616e-07,0.0011025226851289404,4.4904218395238955e-11,3.5488113010123017e-15,2.2846707076448156e-22,0.9988971366680837
2020-06-07,2020-01-01,158.0,5.126631657149633e-07,0.0012861644604034125,7.890006673260945e-11,5.9875257926882436e-15,4.1144292001853573e-22,0.9987133227975248
2020-06-14,2020-01-01,165.0,7.715974389214405e-07,0.001500240085045792,1.3862896886031679e-10,9.755374346242093e-15,7.409390685012947e-22,0.9984989881788765
2020-06-21,2020-01-01,172.0,1.1612286256142528e-06,0.0017497400021508902,2.4356505811451395e-10,1.640270241536109e-14,1.3342591504752558e-21,0.9982490985256419
2020-06-28,2020-01-01,179.0,1.7474573975365036e-06,0.002040454643170018,4.2791595323424736e-10,2.747768382394306e-14,2.402593027173618e-21,0.997957797471489
2020-07-05,2020-01-01,186.0,2.6293576307459637e-06,0.0023790963322415947,7.517639597643313e-10,4.629764985301717e-14,4.326131408107792e-21,0.9976182735583174
2020-07-12,2020-01-01,193.0,3.955829946156786e-06,0.002773437552335429,1.320628345114551e-09,7.728024307938099e-14,7.789245129972387e-21,0.9972226052970128
2020-07-19,2020-01-01,200.0,5.950578629171187e-06,0.0032324669691426882,2.319808206807263e-09,1.294796933240711e-13,1.4023724994967804e-20,0.9967615801322905
2020-07-26,2020-01-01,207.0,8.949541525795399e-06,0.0037665644057708635,4.074660821515982e-09,2.167916521556005e-13,2.5246393195537725e-20,0.9962244819778258
2020-08-02,2020-01-01,214.0,1.3456926255931663e-05,0.004387695586311276,7.156385310041235e-09,3.627927427971272e-13,4.544625949888898e-20,0.9955988403306846
2020-08-09,2020-01-01,221.0,2.0229000628212792e-05,0.005109626847644168,1.2567616915263027e-08,6.070958135840911e-13,8.180011522853568e-20,0.9948701315835037
2020-08-16,2020-01-01,228.0,3.03991984438818e-05,0.005948159059215699,2.206796763182581e-08,1.0158458464786366e-12,1.4721764709950884e-19,0.994021419673357
2020-08-23,2020-01-01,235.0,4.5664573339216654e-05,0.006921378557761092,3.874485883474913e-08,1.699831754177879e-12,2.649159952209406e-19,0.993032918122341
2020-08-30,2020-01-01,242.0,6.856306178649942e-05,0.00804992081752122,6.801412600865162e-08,2.8436305046045925e-12,4.766392302181432e-19,0.9918814481037227
2020-09-06,2020-01-01,249.0,0.00010288463911519645,0.009357239588015527,1.193732309810801e-07,4.756367285001128e-12,8.574211385911331e-19,0.9905397563948819
2020-09-13,2020-01-01,256.0,0.00015427892140265571,0.010869869996143481,2.0947169562925163e-07,7.954226232076997e-12,1.5420880736203478e-18,0.9889756416028039
2020-09-20,2020-01-01,263.0,0.00023114918570431943,0.012617668144905475,3.674853522515181e-07,1.3298738597520894e-11,2.7728123845943635e-18,0.9871508151707391
2020-09-27,2020-01-01,270.0,0.0003459606261609983,0.01463400136947177,6.445166801529774e-07,2.2228309411155736e-11,4.984381651597382e-18,0.9850193934654586
2020-10-04,2020-01-01,277.0,0.0005171414079736114,0.016955851584621796,1.1300240532931235e-06,3.7141629540554967e-11,8.956979551308551e-18,0.9825258769462096
2020-10-11,2020-01-01,284.0,0.0007718202015785963,0.019623777777774874,1.9805073350240925e-06,6.203704082281635e-11,1.608967533319643e-17,0.9796024214512745
2020-10-18,2020-01-01,291.0,0.001149721599406505,0.02268166098209122,3.4695322885537607e-06,1.0357308086485663e-10,2.8889430195383513e-17,0.9761651477826406
2020-10-25,2020-01-01,298.0,0.0017086214544829981,0.026176124056876787,6.074834652211203e-06,1.7282751806496562e-10,5.1844205602766765e-17,0.9721091794811605
2020-11-01,2020-01-01,305.0,0.002531821171782331,0.030155477697257477,1.0629695528934924e-05,2.882055626788826e-10,9.297906875013846e-17,0.9673020711472256
2020-11-08,2020-01-01,312.0,0.0037380736822003402,0.034667993738576895,1.8585360722918613e-05,4.802388314196718e-10,1.6662321893694036e-16,0.961575346738261
2020-11-15,2020-01-01,319.0,0.0054941645114316845,0.039759253634711736,3.246451358169811e-05,7.994710054297735e-10,2.9831584051397546e-16,0.9547141165408036
2020-11-22,2020-01-01,326.0,0.008029699717287214,0.0454682854648324,5.66417021712344e-05,1.3293590432365748e-09,5.334717166616631e-16,0.9464453717863496
2020-11-29,2020-01-01,333.0,0.011652216079939423,0.051822239507903614,9.867956415843607e-05,2.2072622550889925e-09,9.526172629659884e-16,0.9364268626407353
2020-12-06,2020-01-01,340.0,0.01675799542473848,0.058829569054072425,0.0001716024376718307,3.6583533170765603e-09,1.6980310146046708e-15,0.9242408294251623
2020-12-13,2020-01-01,347.0,0.023829421270410378,0.06647227052793375,0.0002977377428519997,6.050031300892641e-09,3.0200423741442173e-15,0.9094005644087695
2020-12-20,2020-01-01,354.0,0.033403416249138326,0.07469895587320564,0.0005151613013045128,9.978706459286414e-09,5.357042624572643e-15,0.8913824565976397
2020-12-27,2020-01-01,361.0,0.04598944398009952,0.08342255398647588,0.0008884596762619305,1.6408027130941913e-08,9.473330056689972e-15,0.869699525949126
2021-01-03,2020-01-01,368.0,0.061915969714310785,0.09252886100525567,0.0015267094074106473,2.6890800263604572e-08,1.669727048027451e-14,0.844028432982206
2021-01-10,2020-01-01,375.0,0.0811029919004782,0.10190306384828249,0.0026137789975945757,4.393315927363329e-08,2.9337941727943554e-14,0.8143801213204561
2021-01-17,2020-01-01,382.0,0.10280729820574427,0.11147657520738122,0.004460234324717352,7.161289247297755e-08,5.1430871237848425e-14,0.7812558206492134
2021-01-24,2020-01-01,389.0,0.1254583199824882,0.12128133592316245,0.00759341712739258,1.1666463035248444e-07,9.01088286526748e-14,0.7456668103022364
2021-01-31,2020-01-01,396.0,0.14674075638908662,0.1314747165688713,0.012911928996140095,1.904069132207375e-07,1.5816352429533675e-13,0.7088724076388305
2021-02-07,2020-01-01,403.0,0.16400086517485718,0.1422809844502403,0.021933238176808926,3.1208330321299537e-07,2.7879801026680283e-13,0.6717846001145117
2021-02-14,2020-01-01,410.0,0.17485225545945768,0.15380965838973285,0.03712413691553048,5.142959929107097e-07,4.941147739870493e-13,0.634213434938792
2021-02-21,2020-01-01,417.0,0.17770877805580979,0.1657718648343297,0.062142575861760675,8.509484969922914e-07,8.792525113461578e-13,0.5943759302987235
2021-02-28,2020-01-01,424.0,0.17208564509467275,0.17723129617877256,0.10144507855024643,1.4072834470370018e-06,1.5638233698695488e-12,0.5492365728912973
2021-03-07,2020-01-01,431.0,0.1587860067763616,0.1866972187685636,0.15836017566842633,2.3116953256126027e-06,2.762693573162493e-12,0.4961542870885602
2021-03-14,2020-01-01,438.0,0.14004888197729629,0.192892519273207,0.23161003556987877,3.756311995310498e-06,4.827921055602418e-12,0.4354448068627948
2021-03-21,2020-01-01,445.0,0.11920430072312665,0.1958780848008705,0.3133111720092202,6.052883900628118e-06,8.366770551457251e-12,0.37160038957451524
2021-03-28,2020-01-01,452.0,0.09943645870523762,0.19725948305042112,0.3923734128669731,9.76260717623036e-06,1.4513073704595908e-11,0.3109208827556788
2021-04-04,2020-01-01,459.0,0.08253139003810563,0.19896336336638684,0.4608617289628365,1.5921457616344248e-05,2.5455184830072294e-11,0.25762759614959957
