date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,4.345704221109611e-12,6.661338147061343e-16,1.346478484274112e-12,0.0,2.3930929589125423e-29,0.9999999999943071
2020-01-12,2020-01-01,11.0,6.369085376523638e-12,1.110223024459423e-15,2.1160850849463667e-12,0.0,4.346557643417123e-29,0.9999999999915137
2020-01-19,2020-01-01,18.0,9.334520671605425e-12,1.776356839021479e-15,3.3257840925786595e-12,0.0,7.894621593023134e-29,0.9999999999873379
2020-01-26,2020-01-01,25.0,1.3680711133920619e-11,2.886579863151417e-15,5.227152044547347e-12,0.0,1.4338944794943537e-28,0.9999999999810892
2020-02-02,2020-01-01,32.0,2.0050373725169436e-11,4.66293670142836e-15,8.215206293004492e-12,2.2204460492471192e-16,2.604372298401196e-28,0.9999999999717295
2020-02-09,2020-01-01,39.0,2.938591114814883e-11,7.993605772468592e-15,1.2911671731716264e-11,2.2204460492383816e-16,4.730302798197381e-28,0.9999999999576942
2020-02-16,2020-01-01,46.0,4.306769146437667e-11,1.3544720888886354e-14,2.0292878488479296e-11,2.2204460492257765e-16,8.591615175883705e-28,0.9999999999366256
2020-02-23,2020-01-01,53.0,6.311956753183226e-11,2.287059427983811e-14,3.1893598872392284e-11,4.440892098414364e-16,1.5604889259606443e-27,0.9999999999049636
2020-03-01,2020-01-01,60.0,9.25071429421568e-11,3.8413716587160806e-14,5.012612547101305e-11,6.661338147537925e-16,2.834304887014614e-27,0.9999999998573276
2020-03-08,2020-01-01,67.0,1.355766960426003e-10,6.46149798796366e-14,7.87814258233821e-11,1.1102230245685189e-15,5.147927716025007e-27,0.9999999997855762
2020-03-15,2020-01-01,74.0,1.9869751482162831e-10,1.0880185604944428e-13,1.2381851098981815e-10,1.7763568392579029e-15,9.350144330119982e-27,0.9999999996773734
2020-03-22,2020-01-01,81.0,2.912043051721408e-10,1.831867982010998e-13,1.9460144604421234e-10,2.6645352587673865e-15,1.6982600342377603e-26,0.9999999995140084
2020-03-29,2020-01-01,88.0,4.2677686140524567e-10,3.0841995419791216e-13,3.05849123745598e-10,3.996802887873697e-15,3.0845375664713016e-26,0.9999999992670615
2020-04-05,2020-01-01,95.0,6.25461723999727e-10,5.191402814729203e-13,4.806934848712647e-10,6.217248936021655e-15,5.602423543386852e-26,0.9999999988933195
2020-04-12,2020-01-01,102.0,9.16636148867549e-10,8.741895981057888e-13,7.55490780690338e-10,9.769962612103737e-15,1.0175641852695841e-25,0.999999998326989
2020-04-19,2020-01-01,109.0,1.3433498233876584e-09,1.4721557034005593e-12,1.1873810814743598e-09,1.4876988519056735e-14,1.848194559062038e-25,0.999999997467782
2020-04-26,2020-01-01,116.0,1.9686852995926387e-09,2.4786838600848106e-12,1.8661694390589062e-09,2.2870594281034353e-14,3.3568625715037137e-25,0.9999999961626437
2020-05-03,2020-01-01,123.0,2.8850784247756724e-09,4.173550240500222e-12,2.9330000597686843e-09,3.530509211960624e-14,6.09704550099513e-25,0.9999999941777126
2020-05-10,2020-01-01,130.0,4.227971707649653e-09,7.02771138058372e-12,4.6097037168277375e-09,5.4400928053059053e-14,1.107402017075161e-24,0.9999999911552425
2020-05-17,2020-01-01,137.0,6.195814057297534e-09,1.1833200216689644e-11,7.2449264043761984e-09,8.393286028885825e-14,2.0113663683403417e-24,0.9999999865473425
2020-05-24,2020-01-01,144.0,9.079357074456194e-09,1.9924948509365243e-11,1.1386622787092535e-08,1.290079145581974e-13,3.653230354924225e-24,0.9999999795139662
2020-05-31,2020-01-01,151.0,1.3304559659004993e-08,3.354960260569733e-11,1.78959968197898e-08,1.9872991921100116e-13,6.635336165643746e-24,0.9999999687656951
2020-06-07,2020-01-01,158.0,1.9495419932073118e-08,5.649124435320367e-11,2.8126574910433136e-08,3.057554156372694e-13,1.2051713592966761e-23,0.9999999523212083
2020-06-14,2020-01-01,165.0,2.8565969303764182e-08,9.512077202397309e-11,4.420565213673735e-08,4.707345494143199e-13,2.1889441070305817e-23,0.9999999271327871
2020-06-21,2020-01-01,172.0,4.185494786801905e-08,1.6016514720793462e-10,6.947663017721968e-08,7.247535586891685e-13,3.9757634779789614e-23,0.999999888507532
2020-06-28,2020-01-01,179.0,6.132291699731143e-08,2.696878886536138e-10,1.0919422750174836e-07,1.1155520175347662e-12,7.221150613882275e-23,0.999999829212052
2020-07-05,2020-01-01,186.0,8.984068478797065e-08,4.5410325723286915e-10,1.7161711521769672e-07,1.7175148294203764e-12,1.3115723731299578e-22,0.9999997380863793
2020-07-12,2020-01-01,193.0,1.3161123165310909e-07,7.646236572060431e-10,2.697251785086976e-07,2.6438846470806955e-12,2.3821993757893695e-22,0.9999995978963223
2020-07-19,2020-01-01,200.0,1.927867056092573e-07,1.287480994501091e-09,4.239184706259383e-07,4.070076473795631e-12,4.3267712591524365e-22,0.9999993820032728
2020-07-26,2020-01-01,207.0,2.823703268235565e-07,2.167872922954025e-09,6.662590567025496e-07,6.265651885567067e-12,7.858682433114662e-22,0.9999990491964779
2020-08-02,2020-01-01,214.0,4.1353413119390863e-07,3.6502841159954095e-09,1.0471377322217748e-06,9.645610842584347e-12,1.427366502419783e-21,0.999998535668207
2020-08-09,2020-01-01,221.0,6.055432174069709e-07,6.14637859696785e-09,1.6457517704843495e-06,1.484877222958003e-11,2.59251450224253e-21,0.9999977425437847
2020-08-16,2020-01-01,228.0,8.865637964338907e-07,1.0349315324079934e-08,2.5865721526003576e-06,2.28585631704504e-11,4.708762453338685e-21,0.9999965164918772
2020-08-23,2020-01-01,235.0,1.297757802810645e-06,1.742623170727965e-08,4.065223814273784e-06,3.518930722888768e-11,8.552482604887161e-21,0.999994619556962
2020-08-30,2020-01-01,242.0,1.899248055911731e-06,2.934233544654485e-08,6.389158877158681e-06,5.417131200958122e-11,1.5533787066194913e-20,0.9999916821965603
2020-09-06,2020-01-01,249.0,2.7787991026093296e-06,4.940658951486283e-08,1.0041576678107411e-05,8.339291672141616e-11,2.8213831428357164e-20,0.9999871301342369
2020-09-13,2020-01-01,256.0,4.064433887434929e-06,8.319047391387131e-08,1.5781872931007325e-05,1.2837695632802e-10,5.12443638054607e-20,0.9999800703743306
2020-09-20,2020-01-01,263.0,5.9427428712376944e-06,1.4007483584835387e-07,2.48034829051089e-05,1.9762633299018314e-10,9.30741465384634e-20,0.9999691135017613
2020-09-27,2020-01-01,270.0,8.685405959096768e-06,2.3585406051245956e-07,3.898188512565463e-05,3.0422876632875334e-10,1.6904810290519603e-19,0.9999520965506261
2020-10-04,2020-01-01,277.0,1.268752840980401e-05,3.971199050892693e-07,6.126419880647917e-05,4.683310456864974e-10,3.070356558827891e-19,0.9999256506845475
2020-10-11,2020-01-01,284.0,1.852290994743194e-05,6.686402529691322e-07,9.628105013072098e-05,7.209439868067685e-10,5.576516553226118e-19,0.9998845266787248
2020-10-18,2020-01-01,291.0,2.7023477862233743e-05,1.1257763922331592e-06,0.00015130710340799673,1.1097960809721597e-09,1.0128154360751812e-18,0.9998205425325415
2020-10-25,2020-01-01,298.0,3.939301435652258e-05,1.895373057215445e-06,0.00023776792285285758,1.7083386673508213e-09,1.8394447103814333e-18,0.9997209419813947
2020-11-01,2020-01-01,305.0,5.736921949761402e-05,3.1908862336415095e-06,0.0003736013879865634,2.629586390706757e-09,3.340610992696778e-18,0.9995658358766958
2020-11-08,2020-01-01,312.0,8.345329200876393e-05,5.3714104631997874e-06,0.0005869520518734165,4.047376342429901e-09,6.066493466679826e-18,0.9993242191982783
2020-11-15,2020-01-01,319.0,0.0001212327007312655,9.040756658094084e-06,0.0009219354240516014,6.2289733848874695e-09,1.1015552649012513e-17,0.9989477848895856
2020-11-22,2020-01-01,326.0,0.00017583046627525376,1.521347168480252e-05,0.0014475938516590814,9.584974080538805e-09,1.9998914723739065e-17,0.9983613526254067
2020-11-29,2020-01-01,333.0,0.0002545221015738638,2.5592294569347076e-05,0.002271717236779071,1.4745428351497876e-08,3.6299325057139825e-17,0.9974481536216493
2020-12-06,2020-01-01,340.0,0.000367566659097289,4.302995093766565e-05,0.0035619403784078628,2.267533312309201e-08,6.585981534798424e-17,0.9960274403362239
2020-12-13,2020-01-01,347.0,0.0005292947870065209,7.229288234570201e-05,0.005577383422585383,3.484839403904653e-08,1.1941950764078482e-16,0.9938209940596682
2020-12-20,2020-01-01,354.0,0.0007594710851738601,0.0001213119279292492,0.008714731878790762,5.350500196567017e-08,2.1632791877298118e-16,0.990404431603104
2020-12-27,2020-01-01,361.0,0.0010848753848217453,0.00020319946837335441,0.013572042325863657,8.202734816976573e-08,3.9129341860882286e-16,0.9851398007935928
2021-01-03,2020-01-01,368.0,0.0015408873673655567,0.00033942761298748445,0.021029235998094944,1.254674200612872e-07,7.06155799137838e-16,0.9770903235541312
2021-01-10,2020-01-01,375.0,0.002172565392491564,0.0005646620822632654,0.03233116947369528,1.912539968386998e-07,1.2700060305595645e-15,0.9649314117975518
2021-01-17,2020-01-01,382.0,0.003034294859881603,0.0009337447667300466,0.04912959928303533,2.900721506281637e-07,2.2726210000904777e-15,0.9469020710182001
2021-01-24,2020-01-01,389.0,0.004186800492724038,0.0015311017670294183,0.0733896287834302,4.3685892251235823e-07,4.0382010106794426e-15,0.92089203209789
2021-01-31,2020-01-01,396.0,0.005691001248511605,0.002482516573819413,0.10701525318614699,6.518728661449256e-07,7.109440228614813e-15,0.8848105771186487
2021-02-07,2020-01-01,403.0,0.00760123368944772,0.0039696754006922986,0.1510849719280732,9.62123701342925e-07,1.2380245473054427e-14,0.8373431568580731
2021-02-14,2020-01-01,410.0,0.00996586810703956,0.006251333617628386,0.20485810134668975,1.4044606682396668e-06,2.132229039160995e-14,0.7789232924679528
2021-02-21,2020-01-01,417.0,0.012845744536663494,0.009702184001984812,0.2651916932832012,2.0332178345294527e-06,3.641952291557662e-14,0.7122583449602796
2021-02-28,2020-01-01,424.0,0.01634971866099118,0.01488349421737995,0.32715027393407725,2.9361661358552776e-06,6.205220972040068e-14,0.6416135770213537
2021-03-07,2020-01-01,431.0,0.020663177218665632,0.022638935999529753,0.3857516587072855,4.261226313119007e-06,1.0625217803882987e-13,0.5709419668480997
2021-03-14,2020-01-01,438.0,0.026033382073446902,0.034148969853028725,0.4376109485055784,6.25451100062395e-06,1.8400250096879776e-13,0.5022004450567612
2021-03-21,2020-01-01,445.0,0.03269070997109753,0.050780301120845237,0.4813198243637425,9.311021398186821e-06,3.231882759592056e-13,0.43519985352259344
2021-03-28,2020-01-01,452.0,0.04071567014267815,0.07348012405083999,0.5167568343327833,1.4043882690799338e-05,5.751413341835425e-13,0.3690333275904327
2021-04-04,2020-01-01,459.0,0.049907830818547876,0.10159561316009358,0.5445164074572878,2.139256664113704e-05,1.03366843034094e-12,0.30395875599639594
2021-04-11,2020-01-01,466.0,0.05976500519202572,0.13168855100871252,0.5662444795047721,3.2832033392894915e-05,1.8717591739063534e-12,0.24226913225922497
2021-04-18,2020-01-01,473.0,0.06962855356929087,0.15778745734082913,0.5852195371408739,5.080380862773635e-05,3.417328218157596e-12,0.18731364813696103
2021-04-25,2020-01-01,480.0,0.07884780575622405,0.17384825068682686,0.6057117021722043,7.94936133167659e-05,6.309103700719925e-12,0.1415127477651191
2021-05-02,2020-01-01,487.0,0.08678034199549368,0.17674551155751086,0.6310727492000429,0.00012601101032119823,1.1800471397392799e-11,0.10527538622483097
2021-05-09,2020-01-01,494.0,0.09273556032782881,0.1673123977504065,0.662277016787771,0.0002020379222658772,2.232519408779173e-11,0.0774729871894028
2021-05-16,2020-01-01,501.0,0.09608446586905488,0.14911676621959644,0.698009135552482,0.000326190589531575,4.253338710871226e-11,0.056463441726801775
2021-05-23,2020-01-01,508.0,0.09649372176918965,0.1264959889440863,0.7357496743022509,0.0005275712059809563,8.118463372107e-11,0.04073304369730749
2021-05-30,2020-01-01,515.0,0.09406473965192465,0.10313274184587848,0.7728823662512391,0.0008512197118075087,1.5460627973218003e-10,0.029068932384543958
2021-06-06,2020-01-01,522.0,0.08927729729386526,0.08148299928051544,0.8073506600072848,0.0013664874838825837,2.93004170259927e-10,0.02052255564144763
2021-06-13,2020-01-01,529.0,0.08281057903581278,0.06281148128442661,0.8378546705634458,0.002179798645216413,5.519573899801279e-10,0.014343469919141143
2021-06-20,2020-01-01,536.0,0.0753602140332392,0.04749862533494163,0.8637523943087223,0.003453839577573625,1.0332964417747476e-09,0.009934925712226508
2021-06-27,2020-01-01,543.0,0.06751897895293053,0.03538654523886901,0.8848309970372337,0.005435852433258501,1.9228716862330798e-09,0.006827624414836339
2021-07-04,2020-01-01,550.0,0.05972888197968092,0.02605512999644716,0.9010574935475866,0.008498138197611988,3.558494785487082e-09,0.004660352720178605
2021-07-11,2020-01-01,557.0,0.05228272775804697,0.01900304181408635,0.9123590289107337,0.013193350686795927,6.551217278478854e-09,0.003161844279119649
2021-07-18,2020-01-01,564.0,0.04534997933688327,0.013748198084332884,0.9184447937007788,0.020323960481978882,1.1999524259408673e-08,0.002133056396501903
2021-07-25,2020-01-01,571.0,0.03900954832628165,0.009873206617844146,0.9186703237363107,0.03101606863140779,2.1862258930154355e-08,0.0014308308258965839
2021-08-01,2020-01-01,578.0,0.03328084453108341,0.007038406668966128,0.9119591160251631,0.04676771246061283,3.9596447682008304e-08,0.0009538807177270538
2021-08-08,2020-01-01,585.0,0.02815024981500067,0.00497837050219335,0.8968316359961099,0.06940819142726995,7.1228154105746e-08,0.0006314810312720353
2021-08-15,2020-01-01,592.0,0.023592702574861655,0.0034914022497097856,0.8716310040293407,0.10087001697317832,1.2713152329144166e-07,0.0004147470413863283
2021-08-22,2020-01-01,599.0,0.019587761534368604,0.0024270560941249413,0.8350252917188827,0.14268954644444332,2.2502819047915888e-07,0.00027011917999003875
2021-08-29,2020-01-01,606.0,0.016127438253896228,0.0016740010261551183,0.7867175374418116,0.19530602460756527,3.953371287716862e-07,0.0001746033334430054
2021-09-05,2020-01-01,613.0,0.01321210398593531,0.001149345874904131,0.7279881320081575,0.2575373539884975,6.915501949014172e-07,0.00011237259231057567
2021-09-12,2020-01-01,620.0,0.010834964216618712,0.0007902450771688883,0.6615077588663965,0.32679338503492283,1.2116320742235587e-06,7.243517281903299e-05
2021-09-19,2020-01-01,627.0,0.00896424389995475,0.0005483374118761226,0.5902714244975529,0.4001667256251149,2.142622236671762e-06,4.7125943264649407e-05
2021-09-26,2020-01-01,634.0,0.0075357192715629785,0.0003867080618838826,0.516407824666889,0.47563473272003964,3.851294940239803e-06,3.116398468439585e-05
2021-10-03,2020-01-01,641.0,0.006460010383522021,0.0002781781862676675,0.44097531449550437,0.5522584134152846,7.061519989264533e-06,2.1021999432142647e-05
2021-10-10,2020-01-01,648.0,0.005638529685020937,0.0002037881925107269,0.36500816834311567,0.6291218854536387,1.318630326401377e-05,1.444202244998929e-05
2021-10-17,2020-01-01,655.0,0.004980417022211804,0.00015110576065004584,0.2908042210739833,0.7040292904336583,2.4923249565878378e-05,1.0042459930691409e-05
2021-10-24,2020-01-01,662.0,0.004416141547556366,0.00011249365682022898,0.2220729546334192,0.7733441014926917,4.7297252332886456e-05,7.011417179644757e-06
2021-10-31,2020-01-01,669.0,0.0039041402667162432,8.350991002131509e-05,0.16262338088697192,0.8332945865447443,8.950103397114969e-05,4.881357575100134e-06
2021-11-07,2020-01-01,676.0,0.003427972519063835,6.157818820281625e-05,0.11474187285059652,0.8815969768041654,0.0001682239776617514,3.3756603097182463e-06
2021-11-14,2020-01-01,683.0,0.0029866799437807505,4.506064772479744e-05,0.07856788152657813,0.9180842967718125,0.0003137644537102975,2.316656393431822e-06
2021-11-21,2020-01-01,690.0,0.0025847610484523147,3.275550625773684e-05,0.052612698673918094,0.9441869250488698,0.0005812803552951464,1.5793672068845698e-06
2021-11-28,2020-01-01,697.0,0.002226053389739771,2.3696562699307957e-05,0.034692937653063104,0.9619847518002068,0.0010714890247410166,1.0715695500375114e-06
2021-12-05,2020-01-01,704.0,0.0019116774659991083,1.709528740015301e-05,0.02265283491844017,0.973448840930723,0.0019688263794654585,7.250179721291653e-07
2021-12-12,2020-01-01,711.0,0.0016402491586009755,1.232270002801278e-05,0.01471098701228918,0.9800239184321413,0.003612032561149254,4.901357912155479e-07
2021-12-19,2020-01-01,718.0,0.0014087801799502445,8.891857505067287e-06,0.009535035179088321,0.9824219897494411,0.006624971336823349,3.3169719200420607e-07
2021-12-26,2020-01-01,725.0,0.0012134720774841803,6.434997269090272e-06,0.006186398020762493,0.9804355866813871,0.01215788309129591,2.251318012395507e-07
2022-01-02,2020-01-01,732.0,0.0010501388541874271,4.678949094070876e-06,0.004027751741022045,0.9725954147582597,0.022321862173436978,1.535239996987926e-07
2022-01-09,2020-01-01,739.0,0.0009141949699858436,3.4224339282635796e-06,0.0026359207572134963,0.9555291424756708,0.04091721404517341,1.0531802825203962e-07
