date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,6.321268555924571e-11,5.12810900124765e-05,2.22033223644212e-16,0.0,9.826705649492946e-28,0.9999487188467747
2020-01-12,2020-01-01,11.0,9.517452729549479e-11,6.0026823652659725e-05,4.440625651181978e-16,0.0,1.769984333207643e-27,0.9999399730811723
2020-01-19,2020-01-01,18.0,1.4329659621344748e-10,7.02638059815377e-05,6.660870316013656e-16,0.0,3.1880876274551216e-27,0.9999297360507211
2020-01-26,2020-01-01,25.0,2.1574977645443388e-10,8.224620863288854e-05,1.332158107080534e-15,0.0,5.7423587302577175e-27,0.999917753575616
2020-02-02,2020-01-01,32.0,3.2483566680881964e-10,9.627148797969383e-05,2.44225562364699e-15,0.0,1.03430709284075e-26,0.9999037281871822
2020-02-09,2020-01-01,39.0,4.890749973622025e-10,0.00011268774324392065,4.218372311141173e-15,0.0,1.8629776648348516e-26,0.999887311767677
2020-02-16,2020-01-01,46.0,7.363526237049608e-10,0.0001319023207118043,7.32650593187369e-15,0.0,3.3555566785175705e-26,0.9998680969429283
2020-02-23,2020-01-01,53.0,1.1086498267760058e-09,0.00015439187337416775,1.2654589417236706e-14,0.0,6.04393921732606e-26,0.9998456070179634
2020-03-01,2020-01-01,60.0,1.669170156890617e-09,0.00018071411986230262,2.2200449982184113e-14,0.0,1.0886140467224434e-25,0.9998192842109455
2020-03-08,2020-01-01,67.0,2.5130683056767695e-09,0.00021152158656636392,3.9071588885878265e-14,0.0,1.9607662957247258e-25,0.9997884759003262
2020-03-15,2020-01-01,74.0,3.78359655101029e-09,0.0002475776631019709,6.837281662482676e-14,0.0,3.531632091560622e-25,0.999752418553233
2020-03-22,2020-01-01,81.0,5.6964155465768515e-09,0.00028977535468613976,1.1964738313758302e-13,0.0,6.360956284340222e-25,0.9997102189487788
2020-03-29,2020-01-01,88.0,8.576184232064542e-09,0.00033915917644868044,2.095390641586238e-13,0.0,1.145687695926987e-24,0.9996608322471576
2020-04-05,2020-01-01,95.0,1.291163676024066e-08,0.0003969507052124792,3.6711609843996844e-13,0.0,2.0635093406199232e-24,0.9996030363827836
2020-04-12,2020-01-01,102.0,1.9438478750526052e-08,0.0004645783848895502,6.429646110872172e-13,2.2194152954339585e-16,3.7165703812031796e-24,0.9995354021759886
2020-04-19,2020-01-01,109.0,2.9264144129094428e-08,0.0005437122733589538,1.1262642011627402e-12,2.2192398052467813e-16,6.693808628217122e-24,0.9994562584613703
2020-04-26,2020-01-01,116.0,4.40555408641947e-08,0.0006363045225074917,1.9727216671928653e-12,4.4380689925598867e-16,1.205586521393233e-23,0.9993636514199784
2020-05-03,2020-01-01,123.0,6.632155546347025e-08,0.0007446364997828912,3.4555502765090556e-12,6.656382964894826e-16,2.171284077817343e-23,0.9992552971752056
2020-05-10,2020-01-01,130.0,9.983809551495024e-08,0.0008713735896360487,6.052326370483688e-12,8.874053547133493e-16,3.910451710763959e-23,0.9991285265662151
2020-05-17,2020-01-01,137.0,1.5028749645332018e-07,0.00101962885656541,1.0600483385562086e-11,1.774547847506694e-15,7.042516483215077e-23,0.9989802208453359
2020-05-24,2020-01-01,144.0,2.262202415146206e-07,0.0011930369072710872,1.856631735873671e-11,2.8831407234495653e-15,1.2682880635722908e-22,0.9988067368539183
2020-05-31,2020-01-01,151.0,3.40501172521341e-07,0.0013958394555940799,3.251656922748546e-11,4.656437637420788e-15,2.28399518971442e-22,0.9986038200107122
2020-06-07,2020-01-01,158.0,5.124837319574146e-07,0.0016329842666082234,5.6947155806987034e-11,7.980573519193732e-15,4.1129891367266768e-22,0.9983665031927046
2020-06-14,2020-01-01,165.0,7.712777676843513e-07,0.001910239328954958,9.972887426350278e-11,1.3297271883613622e-14,7.4063209896421775e-22,0.9980889892935352
2020-06-21,2020-01-01,172.0,1.160659172344008e-06,0.0022343242671928588,1.7464232958968925e-10,2.237649365459105e-14,1.33360484500962e-21,0.9977645148989701
2020-06-28,2020-01-01,179.0,1.746443097777612e-06,0.002613061143324598,3.0581188319589264e-10,3.7649152259512055e-14,2.401198458395224e-21,0.997385192107728
2020-07-05,2020-01-01,186.0,2.627551182163403e-06,0.003055546886491578,5.35465801853709e-10,6.331115215697075e-14,4.3231592243855146e-21,0.9969418250267972
2020-07-12,2020-01-01,193.0,3.952613089304774e-06,0.0035723496000953808,9.375114895876042e-10,1.0642283393126865e-13,7.782910963208545e-21,0.9964236968491974
2020-07-19,2020-01-01,200.0,5.9448509516358084e-06,0.004175730881121963,1.6412842469088354e-09,1.7888589161375466e-13,1.4010226580843464e-20,0.9958183226264633
2020-07-26,2020-01-01,207.0,8.939344876696905e-06,0.00487989598405484,2.873075537878567e-09,3.0073190797189707e-13,2.521762874859086e-20,0.9951111617976923
2020-08-02,2020-01-01,214.0,1.3438777083933856e-05,0.005701273084164667,5.0287369912798955e-09,5.049286948900242e-13,4.538496675159918e-20,0.9942852831095094
2020-08-09,2020-01-01,221.0,2.0196703708460276e-05,0.0066588219221160455,8.800573979514166e-09,8.48091909545168e-13,8.166951600587325e-20,0.9933209725727533
2020-08-16,2020-01-01,228.0,3.034174049833477e-05,0.007774370579691936,1.5399029763777398e-08,1.4243872624639785e-12,1.4693938898799248e-19,0.9921952722793557
2020-08-23,2020-01-01,235.0,4.5562385879297315e-05,0.009072976821371342,2.693980669052022e-08,2.391117691079898e-12,2.643231703971426e-19,0.9908814338505515
2020-08-30,2020-01-01,242.0,6.838139729018921e-05,0.010583307033931266,4.711952469231691e-08,4.0136833493911444e-12,4.753763282498954e-19,0.9893482644452403
2020-09-06,2020-01-01,249.0,0.00010256184571278716,0.012338020891441226,8.239425388416124e-08,6.735395184693672e-12,8.54731039379009e-19,0.9875593348618567
2020-09-13,2020-01-01,256.0,0.00015370572029193205,0.014374142900415776,1.4403371238666582e-07,1.1299389401663813e-11,1.536358667499301e-18,0.9854720073342804
2020-09-20,2020-01-01,263.0,0.000230132121540938,0.016733392168798537,2.516986973846478e-07,1.8949162766814378e-11,2.760611917179529e-18,0.983036223992014
2020-09-27,2020-01-01,270.0,0.00034415776789934886,0.019462428047363985,4.396649385588306e-07,3.1765155621134864e-11,4.958407211270135e-18,0.9801929744880329
2020-10-04,2020-01-01,277.0,0.0005139496010029054,0.02261295031499685,7.676379141718445e-07,5.322386917560173e-11,8.901696896840092e-18,0.9768723323928622
2020-10-11,2020-01-01,284.0,0.0007661781891317326,0.026241566513609173,1.3395175222499826e-06,8.912914744107731e-11,1.5972059665311317e-17,0.9729909156906076
2020-10-18,2020-01-01,291.0,0.0011397680739481605,0.030409303719705846,2.3358982251283625e-06,1.491579595025423e-10,2.863932470978139e-17,0.968448592158963
2020-10-25,2020-01-01,298.0,0.0016911052453015823,0.035180595313043135,4.070234949749393e-06,2.494213316724106e-10,5.13127163441017e-17,0.9631242289572841
2020-11-01,2020-01-01,305.0,0.002501093049290241,0.04062151417317358,7.085642335583392e-06,4.1669217989699407e-10,9.185060349927581e-17,0.9568703067185083
2020-11-08,2020-01-01,312.0,0.0036843833594948842,0.046796955246225534,1.232115410600399e-05,6.953612571633714e-10,1.6422999313255217e-16,0.9495063395448121
2020-11-15,2020-01-01,319.0,0.005400829164720363,0.053766406008769974,2.1396064462169218e-05,1.1588249919599489e-09,2.9324802495331693e-16,0.9408113676032223
