date,start_date,days,Alpha,Gamma,Mu,Delta,Omicron,Otros
2020-01-05,2020-01-01,4.0,2.362801453479217e-10,7.686889478389008e-08,8.375745441864377e-12,0.0,4.027992367216156e-20,0.9999999228864492
2020-01-12,2020-01-01,11.0,3.446920375073499e-10,1.0012204983826762e-07,1.205258279572469e-11,0.0,6.161300835284446e-20,0.9999998995212056
2020-01-19,2020-01-01,18.0,5.028429159010152e-10,1.3040937805018748e-07,1.7343685036614005e-11,0.0,9.424453874552471e-20,0.9999998690704354
2020-01-26,2020-01-01,25.0,7.335499322766697e-10,1.6985874500331384e-07,2.4957596998752252e-11,0.0,1.441584075533137e-19,0.9999998293827475
2020-02-02,2020-01-01,32.0,1.0700963495426536e-09,2.2124170266631928e-07,3.5913948417121036e-11,0.0,2.205077025882311e-19,0.999999777652287
2020-02-09,2020-01-01,39.0,1.5610295240742867e-09,2.8816820793665457e-07,5.168023373834334e-11,0.0,3.3729317955992185e-19,0.9999997102190823
2020-02-16,2020-01-01,46.0,2.2771591110972915e-09,3.753402415521055e-07,7.4367656068213e-11,0.0,5.159306900984638e-19,0.9999996223082317
2020-02-23,2020-01-01,53.0,3.32176258106167e-09,4.888821491883963e-07,1.0701512332065388e-10,0.0,7.891783752794327e-19,0.9999995076890731
2020-03-01,2020-01-01,60.0,4.845464950213752e-09,6.367709090139576e-07,1.5399492570066212e-10,0.0,1.2071437868491895e-18,0.9999993582296312
2020-03-08,2020-01-01,67.0,7.067932258654912e-09,8.29396555877795e-07,2.2159871501814364e-10,0.0,1.8464725131886894e-18,0.9999991633139131
2020-03-15,2020-01-01,74.0,1.030949799063629e-08,1.0802921332784549e-06,3.1888061456399495e-10,0.0,2.8244033089302725e-18,0.9999989090794882
2020-03-22,2020-01-01,81.0,1.5037258033941474e-08,1.4070844523219549e-06,4.5886959441120756e-10,2.220449202159297e-16,4.320267144820482e-18,0.9999985774194199
2020-03-29,2020-01-01,88.0,2.193224894646273e-08,1.8327324497739996e-06,6.603136529950184e-10,2.2204500227325134e-16,6.608372661616955e-18,0.9999981446749874
