date,Alpha,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-09,0.0,0.0,0.0,0.0,0.0,1.0,11
2020-03-16,0.0,0.0,0.0,0.0,0.0,1.0,12
2020-03-30,0.0,0.0,0.0,0.0,0.0,1.0,14
2021-03-15,0.0,0.0,0.0,1.0,0.0,0.0,11
2021-03-22,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,12
2021-03-29,0.0,0.0,0.0,0.5,0.0,0.5,13
2021-04-05,0.0,0.0,0.038461538461538464,0.6153846153846154,0.0,0.34615384615384615,14
2021-04-12,0.5,0.0,0.0,0.5,0.0,0.0,15
2021-04-19,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,16
2021-04-26,0.0,0.0,0.0,1.0,0.0,0.0,17
2021-05-03,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,18
2021-05-10,0.0,0.0,0.0,0.0,0.0,1.0,19
2021-05-17,0.0,0.0,0.0,1.0,0.0,0.0,20
2021-05-24,0.0,0.0,0.125,0.875,0.0,0.0,21
2021-05-31,0.0,0.0,0.0,1.0,0.0,0.0,22
2021-06-07,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,23
2021-06-14,0.0,0.0,0.0,1.0,0.0,0.0,24
2021-06-21,0.0,0.0,0.0,0.5,0.0,0.5,25
2021-06-28,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,26
2021-07-05,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,0.0,27
2021-07-12,0.0,0.18518518518518517,0.037037037037037035,0.7777777777777778,0.0,0.0,28
2021-07-19,0.0,0.125,0.0,0.875,0.0,0.0,29
2021-07-26,0.0,0.25,0.0,0.75,0.0,0.0,30
2021-08-02,0.0,0.17647058823529413,0.058823529411764705,0.7647058823529411,0.0,0.0,31
2021-08-09,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,32
2021-08-16,0.0,0.375,0.0,0.625,0.0,0.0,33
2021-08-23,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,34
2021-08-30,0.0,0.375,0.0,0.625,0.0,0.0,35
2021-09-06,0.0,0.0,0.0,1.0,0.0,0.0,36
2021-09-13,0.0,0.6,0.0,0.4,0.0,0.0,37
2021-09-20,0.0,0.7058823529411765,0.0,0.29411764705882354,0.0,0.0,38
2021-09-27,0.0,1.0,0.0,0.0,0.0,0.0,39
2021-10-04,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,40
2021-10-11,0.0,0.9,0.0,0.1,0.0,0.0,41
2021-10-18,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,42
2021-10-25,0.0,1.0,0.0,0.0,0.0,0.0,43
2021-11-01,0.0,1.0,0.0,0.0,0.0,0.0,44
2021-11-08,0.0,1.0,0.0,0.0,0.0,0.0,45
2021-11-15,0.0,1.0,0.0,0.0,0.0,0.0,46
2021-11-22,0.0,1.0,0.0,0.0,0.0,0.0,47
2021-11-29,0.0,1.0,0.0,0.0,0.0,0.0,48
2021-12-06,0.0,1.0,0.0,0.0,0.0,0.0,49
2021-12-13,0.0,1.0,0.0,0.0,0.0,0.0,50
2021-12-20,0.0,0.0,0.0,0.0,1.0,0.0,51
2021-12-27,0.0,1.0,0.0,0.0,0.0,0.0,52
2022-01-10,0.0,1.0,0.0,0.0,0.0,0.0,2
2022-02-21,0.0,0.0,0.0,0.0,1.0,0.0,8
2022-04-25,0.0,0.0,0.0,0.0,1.0,0.0,17
2022-05-02,0.0,0.0,0.0,0.0,1.0,0.0,18
2022-05-16,0.0,0.0,0.0,0.0,1.0,0.0,20
2022-05-23,0.0,0.0,0.0,0.0,1.0,0.0,21
2022-05-30,0.0,0.0,0.0,0.0,1.0,0.0,22
2022-06-06,0.0,0.0,0.0,0.0,1.0,0.0,23
2022-06-13,0.0,0.0,0.0,0.0,1.0,0.0,24
2022-06-20,0.0,0.0,0.0,0.0,1.0,0.0,25
2022-06-27,0.0,0.0,0.0,0.0,1.0,0.0,26
2022-07-04,0.0,0.0,0.0,0.0,1.0,0.0,27
2022-07-11,0.0,0.0,0.0,0.0,1.0,0.0,28
2022-07-18,0.0,0.0,0.0,0.0,1.0,0.0,29
2022-07-25,0.0,0.0,0.0,0.0,1.0,0.0,30
2022-08-01,0.0,0.0,0.0,0.0,1.0,0.0,31
2022-08-08,0.0,0.0,0.0,0.0,1.0,0.0,32
2022-08-22,0.0,0.0,0.0,0.0,1.0,0.0,34
2022-09-12,0.0,0.0,0.0,0.0,1.0,0.0,37
2022-09-19,0.0,0.0,0.0,0.0,1.0,0.0,38
2022-10-31,0.0,0.0,0.0,0.0,1.0,0.0,44
2022-11-07,0.0,0.0,0.0,0.0,1.0,0.0,45
2022-11-14,0.0,0.0,0.0,0.0,1.0,0.0,46
2022-11-21,0.0,0.0,0.0,0.0,1.0,0.0,47
2022-11-28,0.0,0.0,0.0,0.0,1.0,0.0,48
2022-12-05,0.0,0.0,0.0,0.0,1.0,0.0,49
2022-12-12,0.0,0.0,0.0,0.0,1.0,0.0,50
2022-12-26,0.0,0.0,0.0,0.0,1.0,0.0,52
2023-01-09,0.0,0.0,0.0,0.0,1.0,0.0,2
2023-01-16,0.0,0.0,0.0,0.0,1.0,0.0,3
2023-01-23,0.0,0.0,0.0,0.0,1.0,0.0,4
2023-02-27,0.0,0.0,0.0,0.0,1.0,0.0,9
2023-05-01,0.0,0.0,0.0,0.0,1.0,0.0,18
2023-05-15,0.0,0.0,0.0,0.0,1.0,0.0,20
