date,Delta,Gamma,Mu,Omicron,Otros,week
2020-10-05,0.0,0.0,0.0,0.0,1.0,41
2020-11-23,0.0,0.0,0.0,0.0,1.0,48
2021-04-05,0.0,1.0,0.0,0.0,0.0,14
2021-04-26,0.0,0.5,0.0,0.0,0.5,17
2021-05-10,0.0,1.0,0.0,0.0,0.0,19
2021-07-12,0.0,1.0,0.0,0.0,0.0,28
2021-07-26,0.0,0.5,0.5,0.0,0.0,30
2021-08-02,0.0,0.0,1.0,0.0,0.0,31
2021-08-09,0.2,0.2,0.6,0.0,0.0,32
2021-08-16,0.2,0.2,0.6,0.0,0.0,33
2021-08-23,0.25,0.25,0.5,0.0,0.0,34
2021-09-13,0.4,0.4,0.2,0.0,0.0,37
2021-09-20,1.0,0.0,0.0,0.0,0.0,38
2021-10-04,1.0,0.0,0.0,0.0,0.0,40
2021-10-11,1.0,0.0,0.0,0.0,0.0,41
2021-10-18,1.0,0.0,0.0,0.0,0.0,42
2021-10-25,1.0,0.0,0.0,0.0,0.0,43
2021-11-01,1.0,0.0,0.0,0.0,0.0,44
2021-11-08,1.0,0.0,0.0,0.0,0.0,45
2021-11-15,1.0,0.0,0.0,0.0,0.0,46
2021-11-22,1.0,0.0,0.0,0.0,0.0,47
2021-11-29,1.0,0.0,0.0,0.0,0.0,48
2021-12-06,1.0,0.0,0.0,0.0,0.0,49
2021-12-13,0.8,0.0,0.0,0.2,0.0,50
2021-12-20,1.0,0.0,0.0,0.0,0.0,51
2021-12-27,1.0,0.0,0.0,0.0,0.0,52
2022-01-03,1.0,0.0,0.0,0.0,0.0,1
2022-01-10,1.0,0.0,0.0,0.0,0.0,2
2022-01-17,0.0,0.0,0.0,1.0,0.0,3
2022-06-06,0.0,0.0,0.0,1.0,0.0,23
2022-07-04,0.0,0.0,0.0,1.0,0.0,27
2022-07-11,0.0,0.0,0.0,1.0,0.0,28
2022-07-18,0.0,0.0,0.0,1.0,0.0,29
2022-07-25,0.0,0.0,0.0,1.0,0.0,30
2022-08-01,0.0,0.0,0.0,1.0,0.0,31
2022-08-08,0.0,0.0,0.0,1.0,0.0,32
2022-08-15,0.0,0.0,0.0,1.0,0.0,33
2022-08-22,0.0,0.0,0.0,1.0,0.0,34
2023-01-02,0.0,0.0,0.0,1.0,0.0,1
2023-01-09,0.0,0.0,0.0,1.0,0.0,2
