date,Delta,Gamma,Otros,Mu,week
2021-04-08,0.0,0.3333333333333333,0.6666666666666666,0.0,14
2021-04-15,0.0,0.0,1.0,0.0,15
2021-04-29,0.0,1.0,0.0,0.0,17
2021-10-28,1.0,0.0,0.0,0.0,43
2021-11-04,1.0,0.0,0.0,0.0,44
2021-11-11,1.0,0.0,0.0,0.0,45
2021-11-18,1.0,0.0,0.0,0.0,46
2021-11-25,0.8333333333333334,0.16666666666666666,0.0,0.0,47
2021-12-02,1.0,0.0,0.0,0.0,48
