date,Delta,Gamma,Mu,Omicron,Otros,week
2020-04-03,0.0,0.0,0.0,0.0,1.0,14
2020-04-10,0.0,0.0,0.0,0.0,1.0,15
2020-04-17,0.0,0.0,0.0,0.0,1.0,16
2020-04-24,0.0,0.0,0.0,0.0,1.0,17
2020-05-22,0.0,0.0,0.0,0.0,1.0,21
2020-05-29,0.0,0.0,0.0,0.0,1.0,22
2020-06-26,0.0,0.0,0.0,0.0,1.0,26
2020-07-03,0.0,0.0,0.0,0.0,1.0,27
2020-07-10,0.0,0.0,0.0,0.0,1.0,28
2020-07-17,0.0,0.0,0.0,0.0,1.0,29
2020-07-24,0.0,0.0,0.0,0.0,1.0,30
2020-08-07,0.0,0.0,0.0,0.0,1.0,32
2020-09-18,0.0,0.0,0.0,0.0,1.0,38
2020-09-25,0.0,0.0,0.0,0.0,1.0,39
2020-10-02,0.0,0.0,0.0,0.0,1.0,40
2020-10-16,0.0,0.0,0.0,0.0,1.0,42
2020-10-23,0.0,0.0,0.0,0.0,1.0,43
2020-10-30,0.0,0.0,0.0,0.0,1.0,44
2020-11-06,0.0,0.0,0.0,0.0,1.0,45
2020-11-13,0.0,0.0,0.0,0.0,1.0,46
2020-11-20,0.0,0.0,0.0,0.0,1.0,47
2021-01-01,0.0,0.0,0.0,0.0,1.0,53
2021-02-12,0.0,0.0,0.0,0.0,1.0,6
2021-02-19,0.0,0.0,0.0,0.0,1.0,7
2021-03-05,0.0,0.0,0.0,0.0,1.0,9
2021-03-12,0.0,0.0,0.0,0.0,1.0,10
2021-03-26,0.0,0.0,0.0,0.0,1.0,12
2021-04-23,0.0,1.0,0.0,0.0,0.0,16
2021-06-04,0.0,0.5,0.5,0.0,0.0,22
2021-06-11,0.0,0.0,1.0,0.0,0.0,23
2021-06-18,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,24
2021-06-25,0.0,0.0,1.0,0.0,0.0,25
2021-07-02,0.0,0.5,0.5,0.0,0.0,26
2021-07-09,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,27
2021-07-16,0.07142857142857142,0.0,0.9285714285714286,0.0,0.0,28
2021-07-23,0.0,0.0,1.0,0.0,0.0,29
2021-07-30,0.0,0.0,1.0,0.0,0.0,30
2021-08-06,0.0,0.4,0.6,0.0,0.0,31
2021-08-13,1.0,0.0,0.0,0.0,0.0,32
2021-08-20,0.0,0.0,1.0,0.0,0.0,33
2021-09-03,0.0,0.0,1.0,0.0,0.0,35
2021-09-17,1.0,0.0,0.0,0.0,0.0,37
2021-09-24,0.8,0.0,0.2,0.0,0.0,38
2021-10-01,0.0,0.0,1.0,0.0,0.0,39
2021-10-08,1.0,0.0,0.0,0.0,0.0,40
2021-10-22,1.0,0.0,0.0,0.0,0.0,42
2021-10-29,0.5,0.0,0.5,0.0,0.0,43
2021-11-05,0.0,0.0,1.0,0.0,0.0,44
2021-12-17,1.0,0.0,0.0,0.0,0.0,50
2021-12-31,1.0,0.0,0.0,0.0,0.0,52
2022-01-07,1.0,0.0,0.0,0.0,0.0,1
2022-02-25,0.0,0.0,0.0,1.0,0.0,8
2022-03-11,0.0,0.0,0.0,1.0,0.0,10
2022-03-18,0.0,0.0,0.0,1.0,0.0,11
2022-03-25,0.0,0.0,0.0,1.0,0.0,12
2022-04-22,0.0,0.0,0.0,1.0,0.0,16
2022-06-03,0.0,0.0,0.0,1.0,0.0,22
2022-06-10,0.0,0.0,0.0,1.0,0.0,23
2022-06-17,0.0,0.0,0.0,1.0,0.0,24
2022-06-24,0.0,0.0,0.0,1.0,0.0,25
2022-07-01,0.0,0.0,0.0,1.0,0.0,26
2022-07-08,0.0,0.0,0.0,1.0,0.0,27
2022-07-22,0.0,0.0,0.0,1.0,0.0,29
2022-07-29,0.0,0.0,0.0,1.0,0.0,30
2022-08-05,0.0,0.0,0.0,1.0,0.0,31
2022-10-28,0.0,0.0,0.0,1.0,0.0,43
2022-12-09,0.0,0.0,0.0,1.0,0.0,49
2022-12-16,0.0,0.0,0.0,1.0,0.0,50
2022-12-30,0.0,0.0,0.0,1.0,0.0,52
2023-01-06,0.0,0.0,0.0,1.0,0.0,1
2023-04-07,0.0,0.0,0.0,1.0,0.0,14
2023-04-21,0.0,0.0,0.0,1.0,0.0,16
2023-04-28,0.0,0.0,0.0,1.0,0.0,17
2023-05-19,0.0,0.0,0.0,1.0,0.0,20
2023-05-26,0.0,0.0,0.0,1.0,0.0,21
2023-06-02,0.0,0.0,0.0,1.0,0.0,22
2023-06-09,0.0,0.0,0.0,1.0,0.0,23
2023-06-16,0.0,0.0,0.0,1.0,0.0,24
2023-06-30,0.0,0.0,0.0,1.0,0.0,26
2023-07-07,0.0,0.0,0.0,1.0,0.0,27
