date,Delta,Gamma,Mu,Omicron,Otros,week
2020-12-11,0.0,0.0,0.0,0.0,1.0,50
2021-01-01,0.0,0.0,0.0,0.0,1.0,53
2021-01-08,0.0,0.0,0.0,0.0,1.0,1
2021-01-15,0.0,0.0,0.0,0.0,1.0,2
2021-04-02,0.0,0.0,0.0,0.0,1.0,13
2021-04-09,0.0,0.2,0.4,0.0,0.4,14
2021-04-16,0.0,0.0,1.0,0.0,0.0,15
2021-06-04,0.0,0.0,1.0,0.0,0.0,22
2021-06-25,0.0,0.0,1.0,0.0,0.0,25
2021-07-02,0.0,0.0,1.0,0.0,0.0,26
2021-07-09,0.0,0.0,1.0,0.0,0.0,27
2021-07-16,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.0,0.0,28
2021-07-23,0.0,0.0,1.0,0.0,0.0,29
2021-07-30,0.0,0.0,1.0,0.0,0.0,30
2021-08-06,0.0,0.0,1.0,0.0,0.0,31
2021-08-13,0.0,0.0,1.0,0.0,0.0,32
2021-08-20,0.0,0.0,1.0,0.0,0.0,33
2021-08-27,0.0,0.0,1.0,0.0,0.0,34
2021-09-17,0.6,0.0,0.4,0.0,0.0,37
2021-09-24,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,38
2021-10-01,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,39
2021-10-08,1.0,0.0,0.0,0.0,0.0,40
2021-10-15,0.0,0.0,1.0,0.0,0.0,41
2021-10-29,0.0,0.0,1.0,0.0,0.0,43
2022-01-07,1.0,0.0,0.0,0.0,0.0,1
2022-05-20,0.0,0.0,0.0,1.0,0.0,20
2022-05-27,0.0,0.0,0.0,1.0,0.0,21
2022-06-03,0.0,0.0,0.0,1.0,0.0,22
2022-06-10,0.0,0.0,0.0,1.0,0.0,23
2022-06-17,0.0,0.0,0.0,1.0,0.0,24
2022-06-24,0.0,0.0,0.0,1.0,0.0,25
2022-07-29,0.0,0.0,0.0,1.0,0.0,30
2022-08-05,0.0,0.0,0.0,1.0,0.0,31
2022-08-12,0.0,0.0,0.0,1.0,0.0,32
2022-08-19,0.0,0.0,0.0,1.0,0.0,33
2022-10-28,0.0,0.0,0.0,1.0,0.0,43
2022-11-04,0.0,0.0,0.0,1.0,0.0,44
2022-11-18,0.0,0.0,0.0,1.0,0.0,46
2022-11-25,0.0,0.0,0.0,1.0,0.0,47
2022-12-02,0.0,0.0,0.0,1.0,0.0,48
2022-12-16,0.0,0.0,0.0,1.0,0.0,50
2023-06-02,0.0,0.0,0.0,1.0,0.0,22
2023-06-09,0.0,0.0,0.0,1.0,0.0,23
