date,Alpha,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-05,0.0,0.0,0.0,0.0,0.0,1.0,10
2020-03-26,0.0,0.0,0.0,0.0,0.0,1.0,13
2020-04-02,0.0,0.0,0.0,0.0,0.0,1.0,14
2020-04-16,0.0,0.0,0.0,0.0,0.0,1.0,16
2020-04-23,0.0,0.0,0.0,0.0,0.0,1.0,17
2020-04-30,0.0,0.0,0.0,0.0,0.0,1.0,18
2020-08-13,0.0,0.0,0.0,0.0,0.0,1.0,33
2020-11-05,0.0,0.0,0.0,0.0,0.0,1.0,45
2020-11-12,0.0,0.0,0.0,0.0,0.0,1.0,46
2020-11-19,0.0,0.0,0.0,0.0,0.0,1.0,47
2020-11-26,0.0,0.0,0.0,0.0,0.0,1.0,48
2020-12-03,0.0,0.0,0.0,0.0,0.0,1.0,49
2020-12-10,0.0,0.0,0.0,0.0,0.0,1.0,50
2020-12-17,0.0,0.0,0.0,0.0,0.0,1.0,51
2020-12-24,0.0,0.0,0.0,0.0,0.0,1.0,52
2020-12-31,0.0,0.1,0.0,0.0,0.0,0.9,53
2021-01-07,0.0,0.0,0.0,0.0,0.0,1.0,1
2021-01-28,0.0,0.0,0.0,0.0,0.0,1.0,4
2021-04-08,0.1,0.0,0.2,0.3,0.0,0.4,14
2021-04-15,0.0,0.0,0.5,0.25,0.0,0.25,15
2021-04-22,0.0,0.0,0.0,0.0,0.0,1.0,16
2021-04-29,0.0,0.0,0.5,0.0,0.0,0.5,17
2021-05-06,0.0,0.0,1.0,0.0,0.0,0.0,18
2021-05-13,0.0,0.0,0.0,1.0,0.0,0.0,19
2021-05-20,0.0,0.0,0.6,0.4,0.0,0.0,20
2021-06-03,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,22
2021-06-10,0.0,0.0,1.0,0.0,0.0,0.0,23
2021-06-17,0.0,0.0,0.5,0.5,0.0,0.0,24
2021-06-24,0.0,0.0,0.0,1.0,0.0,0.0,25
2021-07-08,0.0,0.3,0.1,0.6,0.0,0.0,27
2021-07-15,0.0,0.0,0.125,0.875,0.0,0.0,28
2021-07-22,0.0,0.0,0.2,0.8,0.0,0.0,29
2021-07-29,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,30
2021-08-05,0.0,0.1,0.0,0.9,0.0,0.0,31
2021-08-12,0.0,0.0,0.0,1.0,0.0,0.0,32
2021-08-19,0.0,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.0,0.0,33
2021-08-26,0.0,0.0,0.0,1.0,0.0,0.0,34
2021-09-02,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0,35
2021-09-09,0.0,0.75,0.0,0.25,0.0,0.0,36
2021-09-16,0.0,0.25,0.08333333333333333,0.6666666666666666,0.0,0.0,37
2021-09-23,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,38
2021-09-30,0.0,0.625,0.0,0.375,0.0,0.0,39
2021-10-07,0.0,0.8235294117647058,0.0,0.17647058823529413,0.0,0.0,40
2021-10-14,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,41
2021-10-21,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,42
2021-10-28,0.0,0.5,0.0,0.5,0.0,0.0,43
2021-11-04,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,44
2021-11-11,0.0,1.0,0.0,0.0,0.0,0.0,45
2021-11-18,0.0,1.0,0.0,0.0,0.0,0.0,46
2021-11-25,0.0,1.0,0.0,0.0,0.0,0.0,47
2021-12-02,0.0,1.0,0.0,0.0,0.0,0.0,48
2021-12-23,0.0,1.0,0.0,0.0,0.0,0.0,51
2022-01-27,0.0,0.5,0.0,0.0,0.5,0.0,4
2022-03-17,0.0,0.0,0.0,0.0,1.0,0.0,11
2022-04-07,0.0,0.0,0.0,0.0,1.0,0.0,14
2022-04-14,0.0,0.0,0.0,0.0,1.0,0.0,15
2022-04-21,0.0,0.0,0.0,0.0,1.0,0.0,16
2022-04-28,0.0,0.0,0.0,0.0,1.0,0.0,17
2022-05-05,0.0,0.0,0.0,0.0,1.0,0.0,18
2022-05-12,0.0,0.0,0.0,0.0,1.0,0.0,19
2022-05-19,0.0,0.0,0.0,0.0,1.0,0.0,20
2022-06-02,0.0,0.0,0.0,0.0,1.0,0.0,22
2022-06-09,0.0,0.0,0.0,0.0,1.0,0.0,23
2022-06-16,0.0,0.0,0.0,0.0,1.0,0.0,24
