date,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-17,0.0,0.0,0.0,0.0,1.0,12
2020-03-31,0.0,0.0,0.0,0.0,1.0,14
2021-01-26,0.0,0.0,0.0,0.0,1.0,4
2021-05-04,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,18
2021-05-11,0.0,0.0,1.0,0.0,0.0,19
2021-06-01,0.0,0.0,1.0,0.0,0.0,22
2021-06-08,0.0,0.0,1.0,0.0,0.0,23
2021-06-15,0.0,0.0,1.0,0.0,0.0,24
2021-06-22,0.0,0.0,1.0,0.0,0.0,25
2021-07-06,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,27
2021-07-13,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,28
2021-08-03,0.0,0.0,1.0,0.0,0.0,31
2021-08-10,0.0,0.0,1.0,0.0,0.0,32
2021-08-17,0.0,0.0,1.0,0.0,0.0,33
2021-08-31,0.0,0.0,1.0,0.0,0.0,35
2021-09-07,0.0,0.0,1.0,0.0,0.0,36
2021-09-14,0.25,0.0,0.75,0.0,0.0,37
2021-09-21,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,38
2021-09-28,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,39
2021-10-05,1.0,0.0,0.0,0.0,0.0,40
2021-10-12,0.75,0.0,0.25,0.0,0.0,41
2021-11-02,1.0,0.0,0.0,0.0,0.0,44
2021-11-23,1.0,0.0,0.0,0.0,0.0,47
2022-02-15,0.0,0.0,0.0,1.0,0.0,7
2022-03-01,0.0,0.0,0.0,1.0,0.0,9
2022-04-26,0.0,0.0,0.0,1.0,0.0,17
2022-05-31,0.0,0.0,0.0,1.0,0.0,22
2022-06-07,0.0,0.0,0.0,1.0,0.0,23
2022-06-14,0.0,0.0,0.0,1.0,0.0,24
2022-07-26,0.0,0.0,0.0,1.0,0.0,30
2022-08-02,0.0,0.0,0.0,1.0,0.0,31
2022-08-23,0.0,0.0,0.0,1.0,0.0,34
2022-09-06,0.0,0.0,0.0,1.0,0.0,36
2022-09-13,0.0,0.0,0.0,1.0,0.0,37
2022-09-20,0.0,0.0,0.0,1.0,0.0,38
2022-12-20,0.0,0.0,0.0,1.0,0.0,51
2023-05-23,0.0,0.0,0.0,1.0,0.0,21
2023-08-22,0.0,0.0,0.0,1.0,0.0,34
