date,Delta,Mu,Otros,week
2021-04-02,0.0,0.0,1.0,13
2021-04-09,0.0,0.0,1.0,14
2021-04-16,0.0,0.6666666666666666,0.3333333333333333,15
2021-04-23,0.0,0.6666666666666666,0.3333333333333333,16
2021-05-07,0.0,0.0,1.0,18
2021-08-06,1.0,0.0,0.0,31
2021-10-08,0.5,0.5,0.0,40
