date,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-21,0.0,0.0,0.0,0.0,1.0,12
2020-03-28,0.0,0.0,0.0,0.0,1.0,13
2020-04-04,0.0,0.0,0.0,0.0,1.0,14
2020-12-26,0.0,0.0,0.0,0.0,1.0,52
2021-01-09,0.0,0.0,0.0,0.0,1.0,1
2021-04-03,0.0,0.0,1.0,0.0,0.0,13
2021-04-17,0.0,0.0,0.8,0.0,0.2,15
2021-04-24,0.0,0.0,0.75,0.0,0.25,16
2021-05-01,0.0,0.0,1.0,0.0,0.0,17
2021-05-08,0.0,0.0,1.0,0.0,0.0,18
2021-05-15,0.0,0.0,0.75,0.0,0.25,19
2021-05-22,0.0,0.0,0.0,0.0,1.0,20
2021-05-29,0.0,0.0,1.0,0.0,0.0,21
2021-06-05,0.0,0.0,1.0,0.0,0.0,22
2021-06-12,0.0,0.0,1.0,0.0,0.0,23
2021-07-03,0.0,0.0,1.0,0.0,0.0,26
2021-07-10,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,27
2021-07-17,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.0,0.0,28
2021-07-24,0.0,0.0,1.0,0.0,0.0,29
2021-07-31,0.5,0.0,0.5,0.0,0.0,30
2021-08-07,0.0,0.0,1.0,0.0,0.0,31
2021-08-14,0.0,0.0,1.0,0.0,0.0,32
2021-08-21,0.0,0.0,1.0,0.0,0.0,33
2021-09-04,1.0,0.0,0.0,0.0,0.0,35
2021-09-11,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,36
2021-09-18,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,37
2021-09-25,0.0,0.0,1.0,0.0,0.0,38
2021-10-02,0.0,0.0,1.0,0.0,0.0,39
2021-10-09,0.5,0.0,0.5,0.0,0.0,40
2021-10-16,0.5,0.0,0.5,0.0,0.0,41
2021-10-23,0.8,0.0,0.2,0.0,0.0,42
2021-11-06,1.0,0.0,0.0,0.0,0.0,44
2021-11-13,1.0,0.0,0.0,0.0,0.0,45
2021-11-20,0.0,0.0,1.0,0.0,0.0,46
2021-12-25,1.0,0.0,0.0,0.0,0.0,51
2022-01-01,1.0,0.0,0.0,0.0,0.0,52
2022-01-15,1.0,0.0,0.0,0.0,0.0,2
2022-05-28,0.0,0.0,0.0,1.0,0.0,21
2022-06-11,0.0,0.0,0.0,1.0,0.0,23
2022-06-18,0.0,0.0,0.0,1.0,0.0,24
2022-06-25,0.0,0.0,0.0,1.0,0.0,25
2022-08-06,0.0,0.0,0.0,1.0,0.0,31
2022-09-03,0.0,0.0,0.0,1.0,0.0,35
2022-10-08,0.0,0.0,0.0,1.0,0.0,40
2022-11-26,0.0,0.0,0.0,1.0,0.0,47
2023-01-07,0.0,0.0,0.0,1.0,0.0,1
2023-01-28,0.0,0.0,0.0,1.0,0.0,4
2023-03-11,0.0,0.0,0.0,1.0,0.0,10
2023-03-25,0.0,0.0,0.0,1.0,0.0,12
2023-04-29,0.0,0.0,0.0,1.0,0.0,17
2023-05-06,0.0,0.0,0.0,1.0,0.0,18
2023-05-13,0.0,0.0,0.0,1.0,0.0,19
