date,Alpha,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-06,0.0,0.0,0.0,0.0,0.0,1.0,10
2020-03-20,0.0,0.0,0.0,0.0,0.0,1.0,12
2020-03-27,0.0,0.0,0.0,0.0,0.0,1.0,13
2020-04-03,0.0,0.0,0.0,0.0,0.0,1.0,14
2021-01-22,0.0,0.0,0.0,0.0,0.0,1.0,3
2021-02-12,1.0,0.0,0.0,0.0,0.0,0.0,6
2021-02-19,1.0,0.0,0.0,0.0,0.0,0.0,7
2021-02-26,0.0,0.0,0.0,0.0,0.0,1.0,8
2021-03-12,1.0,0.0,0.0,0.0,0.0,0.0,10
2021-03-19,0.75,0.0,0.0,0.0,0.0,0.25,11
2021-03-26,1.0,0.0,0.0,0.0,0.0,0.0,12
2021-04-02,1.0,0.0,0.0,0.0,0.0,0.0,13
2021-04-09,0.25,0.0,0.25,0.25,0.0,0.25,14
2021-04-16,0.0,0.0,0.0,1.0,0.0,0.0,15
2021-04-23,0.2,0.0,0.4,0.2,0.0,0.2,16
2021-04-30,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,17
2021-05-07,0.0,0.0,0.5,0.5,0.0,0.0,18
2021-05-14,0.0,0.0,0.0,1.0,0.0,0.0,19
2021-05-28,0.0,0.0,0.0,1.0,0.0,0.0,21
2021-06-04,0.0,0.0,0.25,0.75,0.0,0.0,22
2021-06-18,0.0,0.0,0.0,1.0,0.0,0.0,24
2021-07-02,0.0,0.0,0.2,0.8,0.0,0.0,26
2021-07-09,0.0,0.0,0.0,1.0,0.0,0.0,27
2021-07-16,0.0,0.0,0.0,1.0,0.0,0.0,28
2021-07-23,0.0,0.2,0.0,0.8,0.0,0.0,29
2021-07-30,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,30
2021-08-06,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,31
2021-08-13,0.0,0.5,0.0,0.5,0.0,0.0,32
2021-08-20,0.0,0.75,0.0,0.25,0.0,0.0,33
2021-08-27,0.0,0.25,0.0,0.75,0.0,0.0,34
2021-09-03,0.0,0.0,0.5,0.5,0.0,0.0,35
2021-09-10,0.0,0.5,0.0,0.5,0.0,0.0,36
2021-09-17,0.0,0.8,0.0,0.2,0.0,0.0,37
2021-09-24,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,38
2021-10-01,0.0,1.0,0.0,0.0,0.0,0.0,39
2021-10-08,0.0,0.0,0.0,1.0,0.0,0.0,40
2021-10-15,0.0,1.0,0.0,0.0,0.0,0.0,41
2021-10-29,0.0,1.0,0.0,0.0,0.0,0.0,43
2021-11-05,0.0,1.0,0.0,0.0,0.0,0.0,44
2021-11-19,0.0,1.0,0.0,0.0,0.0,0.0,46
2021-11-26,0.0,1.0,0.0,0.0,0.0,0.0,47
2021-12-10,0.0,1.0,0.0,0.0,0.0,0.0,49
2022-02-18,0.0,0.0,0.0,0.0,1.0,0.0,7
2022-04-22,0.0,0.0,0.0,0.0,1.0,0.0,16
2022-05-06,0.0,0.0,0.0,0.0,1.0,0.0,18
2022-05-13,0.0,0.0,0.0,0.0,1.0,0.0,19
2022-06-03,0.0,0.0,0.0,0.0,1.0,0.0,22
2022-06-10,0.0,0.0,0.0,0.0,1.0,0.0,23
2022-06-17,0.0,0.0,0.0,0.0,1.0,0.0,24
2022-06-24,0.0,0.0,0.0,0.0,1.0,0.0,25
2022-07-01,0.0,0.0,0.0,0.0,1.0,0.0,26
2022-07-08,0.0,0.0,0.0,0.0,1.0,0.0,27
2022-07-15,0.0,0.0,0.0,0.0,1.0,0.0,28
2022-07-22,0.0,0.0,0.0,0.0,1.0,0.0,29
2022-07-29,0.0,0.0,0.0,0.0,1.0,0.0,30
2022-08-05,0.0,0.0,0.0,0.0,1.0,0.0,31
2022-08-12,0.0,0.0,0.0,0.0,1.0,0.0,32
2022-12-16,0.0,0.0,0.0,0.0,1.0,0.0,50
2022-12-23,0.0,0.0,0.0,0.0,1.0,0.0,51
2022-12-30,0.0,0.0,0.0,0.0,1.0,0.0,52
2023-01-06,0.0,0.0,0.0,0.0,1.0,0.0,1
2023-01-27,0.0,0.0,0.0,0.0,1.0,0.0,4
2023-02-10,0.0,0.0,0.0,0.0,1.0,0.0,6
2023-02-17,0.0,0.0,0.0,0.0,1.0,0.0,7
2023-04-07,0.0,0.0,0.0,0.0,1.0,0.0,14
2023-06-02,0.0,0.0,0.0,0.0,1.0,0.0,22
