date,Alpha,Delta,Gamma,Mu,Omicron,Otros,week
2020-03-01,0.0,0.0,0.0,0.0,0.0,1.0,9
2020-03-08,0.0,0.0,0.0,0.0,0.0,1.0,10
2020-03-22,0.0,0.0,0.0,0.0,0.0,1.0,12
2020-06-07,0.0,0.0,0.0,0.0,0.0,1.0,23
2020-06-14,0.0,0.0,0.0,0.0,0.0,1.0,24
2020-06-21,0.0,0.0,0.0,0.0,0.0,1.0,25
2020-06-28,0.0,0.0,0.0,0.0,0.0,1.0,26
2020-07-05,0.0,0.0,0.0,0.0,0.0,1.0,27
2020-07-12,0.0,0.0,0.0,0.0,0.0,1.0,28
2020-07-26,0.0,0.0,0.0,0.0,0.0,1.0,30
2020-08-02,0.0,0.0,0.0,0.0,0.0,1.0,31
2020-08-09,0.0,0.0,0.0,0.0,0.0,1.0,32
2020-08-16,0.0,0.0,0.0,0.0,0.0,1.0,33
2020-08-30,0.0,0.0,0.0,0.0,0.0,1.0,35
2020-09-06,0.0,0.0,0.0,0.0,0.0,1.0,36
2020-09-27,0.0,0.0,0.0,0.0,0.0,1.0,39
2020-10-04,0.0,0.0,0.0,0.0,0.0,1.0,40
2020-11-01,0.0,0.0,0.0,0.0,0.0,1.0,44
2020-11-08,0.0,0.0,0.0,0.0,0.0,1.0,45
2020-11-29,0.0,0.0,0.0,0.0,0.0,1.0,48
2020-12-06,0.0,0.0,0.0,0.0,0.0,1.0,49
2020-12-13,0.0,0.0,0.0,0.0,0.0,1.0,50
2020-12-20,0.0,0.0,0.0,0.0,0.0,1.0,51
2020-12-27,0.0,0.0,0.0,0.0,0.0,1.0,52
2021-01-03,0.0,0.0,0.0,0.0,0.0,1.0,53
2021-01-10,0.0,0.0,0.0,0.0,0.0,1.0,1
2021-01-17,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,2
2021-01-24,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,3
2021-02-07,0.0,0.0,0.0,0.0,0.0,1.0,5
2021-02-28,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,8
2021-03-07,0.5,0.0,0.0,0.0,0.0,0.5,9
2021-03-14,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.75,10
2021-03-21,0.11764705882352941,0.0,0.23529411764705882,0.35294117647058826,0.0,0.29411764705882354,11
2021-03-28,0.1111111111111111,0.0,0.14814814814814814,0.14814814814814814,0.0,0.5925925925925926,12
2021-04-04,0.07894736842105263,0.0,0.2236842105263158,0.3157894736842105,0.0,0.3815789473684211,13
2021-04-11,0.14705882352941177,0.0,0.14705882352941177,0.5441176470588235,0.0,0.16176470588235295,14
2021-04-18,0.014492753623188406,0.0,0.2318840579710145,0.5217391304347826,0.0,0.2318840579710145,15
2021-04-25,0.0,0.0,0.21052631578947367,0.631578947368421,0.0,0.15789473684210525,16
2021-05-02,0.0,0.0,0.3684210526315789,0.631578947368421,0.0,0.0,17
2021-05-09,0.0,0.017857142857142856,0.19642857142857142,0.5178571428571429,0.0,0.26785714285714285,18
2021-05-16,0.0,0.03225806451612903,0.2903225806451613,0.45161290322580644,0.0,0.22580645161290322,19
2021-05-23,0.038461538461538464,0.0,0.19230769230769232,0.6538461538461539,0.0,0.11538461538461539,20
2021-05-30,0.0,0.0,0.23809523809523808,0.7380952380952381,0.0,0.023809523809523808,21
2021-06-06,0.0,0.0,0.11764705882352941,0.8529411764705882,0.0,0.029411764705882353,22
2021-06-13,0.0,0.0,0.14285714285714285,0.8095238095238095,0.0,0.047619047619047616,23
2021-06-20,0.0,0.0,0.22857142857142856,0.7428571428571429,0.0,0.02857142857142857,24
2021-06-27,0.0,0.013513513513513514,0.13513513513513514,0.8108108108108109,0.0,0.04054054054054054,25
2021-07-04,0.0,0.017543859649122806,0.07894736842105263,0.9035087719298246,0.0,0.0,26
2021-07-11,0.0,0.052980132450331126,0.09933774834437085,0.847682119205298,0.0,0.0,27
2021-07-18,0.0,0.04895104895104895,0.04895104895104895,0.9020979020979021,0.0,0.0,28
2021-07-25,0.0,0.112,0.064,0.824,0.0,0.0,29
2021-08-01,0.0,0.15873015873015872,0.03571428571428571,0.8055555555555556,0.0,0.0,30
2021-08-08,0.0,0.1597222222222222,0.06944444444444445,0.7708333333333334,0.0,0.0,31
2021-08-15,0.0,0.21951219512195122,0.06097560975609756,0.7195121951219512,0.0,0.0,32
2021-08-22,0.0,0.46296296296296297,0.037037037037037035,0.5,0.0,0.0,33
2021-08-29,0.0,0.3684210526315789,0.0,0.631578947368421,0.0,0.0,34
2021-09-05,0.0,0.5833333333333334,0.027777777777777776,0.3888888888888889,0.0,0.0,35
2021-09-12,0.0,0.7313432835820896,0.029850746268656716,0.23880597014925373,0.0,0.0,36
2021-09-19,0.0,0.7333333333333333,0.022222222222222223,0.24444444444444444,0.0,0.0,37
2021-09-26,0.0,0.8037383177570093,0.009345794392523364,0.18691588785046728,0.0,0.0,38
2021-10-03,0.0,0.8166666666666667,0.008333333333333333,0.175,0.0,0.0,39
2021-10-10,0.0,0.75,0.020833333333333332,0.22916666666666666,0.0,0.0,40
2021-10-17,0.0,0.8787878787878788,0.0,0.12121212121212122,0.0,0.0,41
2021-10-24,0.0,0.9032258064516129,0.0,0.0967741935483871,0.0,0.0,42
2021-10-31,0.0,0.972972972972973,0.0,0.02702702702702703,0.0,0.0,43
2021-11-07,0.0,0.967032967032967,0.0,0.03296703296703297,0.0,0.0,44
