date,Delta,Gamma,Mu,Omicron,Otros,week
2020-10-16,0.0,0.0,0.0,0.0,1.0,42
2020-11-20,0.0,0.0,0.0,0.0,1.0,47
2020-12-25,0.0,0.0,0.0,0.0,1.0,52
2021-03-05,0.0,0.0,0.0,0.0,1.0,9
2021-03-12,0.0,0.0,0.5,0.0,0.5,10
2021-04-02,0.0,0.0,1.0,0.0,0.0,13
2021-04-16,0.0,0.0,0.5,0.0,0.5,15
2021-04-23,0.0,1.0,0.0,0.0,0.0,16
2021-04-30,0.0,0.5,0.5,0.0,0.0,17
2021-05-21,0.0,1.0,0.0,0.0,0.0,20
2021-06-04,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,22
2021-06-11,0.0,0.0,0.0,0.0,1.0,23
2021-06-18,0.0,0.0,0.5,0.0,0.5,24
2021-07-09,0.0,0.5,0.5,0.0,0.0,27
2021-07-16,0.0,0.0,1.0,0.0,0.0,28
2021-07-23,0.0,1.0,0.0,0.0,0.0,29
2021-08-06,0.0,0.0,1.0,0.0,0.0,31
2021-08-13,0.0,0.0,1.0,0.0,0.0,32
2021-08-27,0.0,0.0,1.0,0.0,0.0,34
2021-09-03,1.0,0.0,0.0,0.0,0.0,35
2021-09-10,0.0,0.0,1.0,0.0,0.0,36
2021-09-17,0.5,0.0,0.5,0.0,0.0,37
2021-09-24,1.0,0.0,0.0,0.0,0.0,38
2021-10-01,1.0,0.0,0.0,0.0,0.0,39
2021-10-08,1.0,0.0,0.0,0.0,0.0,40
2021-10-15,1.0,0.0,0.0,0.0,0.0,41
2021-12-03,1.0,0.0,0.0,0.0,0.0,48
2021-12-17,1.0,0.0,0.0,0.0,0.0,50
2022-07-29,0.0,0.0,0.0,1.0,0.0,30
2022-08-05,0.0,0.0,0.0,1.0,0.0,31
2022-12-16,0.0,0.0,0.0,1.0,0.0,50
2022-12-30,0.0,0.0,0.0,1.0,0.0,52
